[_w f e m ]_w
[_w m e ɾ a ]_w
[_w s u m a ]_w
[_w a ʒ i n ]_w
[_w p o s t ]_w
[_w ɡ a s a ]_w
[_w k u ɾ d ]_w
[_w p a d i ]_w
[_w e s t i ]_w
[_w s e n s ]_w
[_w d a s ]_w
[_w e ɡ s e ]_w
[_w m a n t ]_w
[_w e l s ]_w
[_w p ɾ o u ]_w
[_w p ɡ n ]_w
[_w m a m a ]_w
[_w f i s i ]_w
[_w i ɡ w a ]_w
[_w d e s tʃ ]_w
[_w ɡ o r e ]_w
[_w p e ɾ o ]_w
[_w e n m tʃ ]_w
[_w e ɾ a ]_w
[_w s a n ts ]_w
[_w b ɾ o s ]_w
[_w ɡ o m o ]_w
[_w a u ɾ e ]_w
[_w f a m ]_w
[_w t i u ]_w
[_w p a k a ]_w
[_w m i ɾ a ]_w
[_w b i d a ]_w
[_w i d e a ]_w
[_w t i m a ]_w
[_w n e n ]_w
[_w ʎ i s o ]_w
[_w b a ɾ ts ]_w
[_w k o ʎ a ]_w
[_w r e i s ]_w
[_w r e t a ]_w
[_w s a b ]_w
[_w ʒ a b i ]_w
[_w f i l s ]_w
[_w f e i a ]_w
[_w a ɡ e s ]_w
[_w p i n d ]_w
[_w e ʎ s ]_w
[_w t a d a ]_w
[_w p o ɾ d ]_w
[_w p e ʎ ]_w
[_w d o r e ]_w
[_w e k i p ]_w
[_w d a n i ]_w
[_w u m a ]_w
[_w t o t o ]_w
[_w s a ɾ a ]_w
[_w a n d o ]_w
[_w m a l ]_w
[_w p i u s ]_w
[_w b i s i ]_w
[_w t o ɾ ]_w
[_w p e u s ]_w
[_w e ʎ e s ]_w
[_w k ɾ e k ]_w
[_w t o r e ]_w
[_w f i ɾ a ]_w
[_w b a i s ]_w
[_w p o ts ]_w
[_w t ɾ e n ]_w
[_w i t a l ]_w
[_w a b a ɾ ]_w
[_w u n o ]_w
[_w n i dz ]_w
[_w d e u s ]_w
[_w f e ɾ ]_w
[_w e d i t ]_w
[_w a n e m ]_w
[_w o d ɾ a ]_w
[_w p a i s ]_w
[_w b o n t ]_w
[_w p s o e ]_w
[_w i o ɾ ɡ ]_w
[_w u n a ]_w
[_w s o l ]_w
[_w k w a ɲ ]_w
[_w d i n a ]_w
[_w d i a ɾ ]_w
[_w ʒ u l ]_w
[_w p e ɾ i ]_w
[_w k ɾ e a ]_w
[_w d i ɾ e ]_w
[_w l i ʎ a ]_w
[_w b e ɾ i ]_w
[_w b e ɾ d ]_w
[_w k i t a ]_w
[_w k a n a ]_w
[_w d ɾ o s ]_w
[_w p a t a ]_w
[_w k l u p ]_w
[_w m a ɾ ]_w
[_w a d e u ]_w
[_w p o ɾ ]_w
[_w b u ʒ a ]_w
[_w ʎ o p ]_w
[_w s u t ]_w
[_w k u a ]_w
[_w p ɾ o b ]_w
[_w m o n a ]_w
[_w s o ɾ t ]_w
[_w f a dʒ ]_w
[_w a ɾ ts ]_w
[_w p o s a ]_w
[_w p a ʎ a ]_w
[_w p l o k ]_w
[_w d e b e ]_w
[_w k a l ]_w
[_w s e n ]_w
[_w s e ɲ ]_w
[_w k s t a ]_w
[_w p u ʎ ]_w
[_w d i k ]_w
[_w l a l t ]_w
[_w p l a d ]_w
[_w p e ɾ ]_w
[_w d e u ]_w
[_w k w e ʎ ]_w
[_w n o ɾ t ]_w
[_w k o n s ]_w
[_w ʒ u s t ]_w
[_w a ɲ s ]_w
[_w t o k a ]_w
[_w a ɾ t ]_w
[_w b a r i ]_w
[_w l o s ]_w
[_w s i n e ]_w
[_w e k s e ]_w
[_w a l t e ]_w
[_w s a b a ]_w
[_w r i k ]_w
[_w d i e s ]_w
[_w u d i l ]_w
[_w b a ɾ t ]_w
[_w ʒ o n ]_w
[_w ɡ l u b ]_w
[_w a l s ]_w
[_w m e b a ]_w
[_w t i e n ]_w
[_w k u p ]_w
[_w u m o ɾ ]_w
[_w d a b a ]_w
[_w m a t i ]_w
[_w e s k a ]_w
[_w b e ʎ ]_w
[_w o m e n ]_w
[_w k l i k ]_w
[_w ʒ o b e ]_w
[_w a ɡ e ʎ ]_w
[_w n a t a ]_w
[_w s i m ]_w
[_w s e n d ]_w
[_w k w a n ]_w
[_w n o ɾ d ]_w
[_w k l a ɾ ]_w
[_w i n t e ]_w
[_w m a ɾ i ]_w
[_w f i l ]_w
[_w k w a l ]_w
[_w o b e ɾ ]_w
[_w d a k s ]_w
[_w ɡ a b a ]_w
[_w b ɾ o b ]_w
[_w u t i l ]_w
[_w b i s t ]_w
[_w p a i ʃ ]_w
[_w r o s a ]_w
[_w k o ɾ ts ]_w
[_w k a b a ]_w
[_w k a ɾ a ]_w
[_w d u ɾ a ]_w
[_w i k w a ]_w
[_w a s a dʒ ]_w
[_w t e s ]_w
[_w s a l t ]_w
[_w s e b a ]_w
[_w d i u ]_w
[_w k l a u ]_w
[_w s a n d ]_w
[_w d i t a ]_w
[_w u n o s ]_w
[_w k a f ɛ ]_w
[_w a ɾ a p ]_w
[_w s e m ]_w
[_w o p e ɾ ]_w
[_w f o n ts ]_w
[_w n o u ]_w
[_w a r a n ]_w
[_w p i s t ]_w
[_w ɡ o b a ]_w
[_w ʒ p i ]_w
[_w m u ɾ ]_w
[_w b o s t ]_w
[_w ʎ a k ]_w
[_w p e ɾ t ]_w
[_w u n i k ]_w
[_w l e n t ]_w
[_w k o m u ]_w
[_w m o t ]_w
[_w a s i ]_w
[_w r e sː ɔ ]_w
[_w ɡ ɾ i s ]_w
[_w s e r a ]_w
[_w m i s ]_w
[_w m i ɾ o ]_w
[_w s o u s ]_w
[_w m o s ]_w
[_w a b i ]_w
[_w ɡ ɾ i dz ]_w
[_w e r o ɾ ]_w
[_w d i n s ]_w
[_w t i a ]_w
[_w a l d ]_w
[_w n o i ]_w
[_w d ɾ i a ]_w
[_w f ɾ e s ]_w
[_w k o s t ]_w
[_w s e ɾ t ]_w
[_w b e ɾ ]_w
[_w t ɾ e u ]_w
[_w r e ɾ e ]_w
[_w e n s ]_w
[_w p a ʎ s ]_w
[_w t i e m ]_w
[_w d e ɾ s ]_w
[_w b e ɾ n ]_w
[_w ɡ a ɾ t ]_w
[_w l i e s ]_w
[_w k a s i ]_w
[_w n o i a ]_w
[_w p l e n ]_w
[_w b u ɡ i ]_w
[_w r e i ]_w
[_w t e n s ]_w
[_w d a n t ]_w
[_w p a ɾ a ]_w
[_w m o n ]_w
[_w s o p a ]_w
[_w d a n ]_w
[_w ʎ o k s ]_w
[_w b i n d ]_w
[_w a ɾ d ]_w
[_w a l ts ]_w
[_w o m e ]_w
[_w t e m a ]_w
[_w p o n t ]_w
[_w ʒ o p e ]_w
[_w k a t ]_w
[_w a t a k ]_w
[_w t e u s ]_w
[_w k o p a ]_w
[_w a l ɡ u ]_w
[_w t e ʎ ]_w
[_w m a n s ]_w
[_w f o u ]_w
[_w f a ɾ a ]_w
[_w p a ɾ ]_w
[_w d i b e ]_w
[_w a n t e ]_w
[_w m e ɾ s ]_w
[_w f e n t ]_w
[_w d e b ɔ ]_w
[_w s a l o ]_w
[_w ʒ e l ]_w
[_w t a ʎ a ]_w
[_w d u e s ]_w
[_w ɡ ɾ a n ]_w
[_w m e d i ]_w
[_w s e ɾ o ]_w
[_w s i s ]_w
[_w t u ɾ a ]_w
[_w b o n a ]_w
[_w i n f o ]_w
[_w r i s k ]_w
[_w a k t e ]_w
[_w b a s i ]_w
[_w ɡ a l ]_w
[_w d e n s ]_w
[_w p u i t ]_w
[_w n a b a ]_w
[_w f i n ]_w
[_w d e m a ]_w
[_w s o t a ]_w
[_w s e ɾ ts ]_w
[_w k u b ]_w
[_w p u ʒ a ]_w
[_w s e d ]_w
[_w b l o k ]_w
[_w f i n s ]_w
[_w p e d o ]_w
[_w a l e s ]_w
[_w t i ʃ i ]_w
[_w d e l ]_w
[_w e t a d ]_w
[_w t o ts e ]_w
[_w k u ɾ ts ]_w
[_w d e n ]_w
[_w s u a u ]_w
[_w o ɾ e s ]_w
[_w u n e s ]_w
[_w d e i ʒ ]_w
[_w e ɾ k ]_w
[_w t o ɾ n ]_w
[_w b i n t ]_w
[_w r i u ]_w
[_w t i k ]_w
[_w p o ɡ a ]_w
[_w n o b a ]_w
[_w t ɾ e ts ]_w
[_w b a s a ]_w
[_w u n s ]_w
[_w b a t i ]_w
[_w m e dʒ e ]_w
[_w f i n a ]_w
[_w p e t o ]_w
[_w p e ʎ a ]_w
[_w p a ʎ ]_w
[_w a d a ɡ ]_w
[_w k a d a ]_w
[_w i a i a ]_w
[_w p o ɾ e ]_w
[_w f e n d ]_w
[_w b a k a ]_w
[_w d i n t ]_w
[_w r i d a ]_w
[_w d e n t ]_w
[_w a i ʃ o ]_w
[_w e t k ]_w
[_w d i u s ]_w
[_w n i ts ]_w
[_w m e s a ]_w
[_w s o ɾ d ]_w
[_w w e b s ]_w
[_w t e n ]_w
[_w p e ɾ ɔ ]_w
[_w ɡ o s ]_w
[_w p a s e ]_w
[_w f o s k ]_w
[_w m u ɡ o ]_w
[_w b a ʎ ]_w
[_w k l i ɡ ]_w
[_w m a b a ]_w
[_w p a s ]_w
[_w d e ɾ k ]_w
[_w p s k ]_w
[_w k a m b ]_w
[_w a l t ]_w
[_w t ɾ e t ]_w
[_w p a s i ]_w
[_w f o ɾ d ]_w
[_w p i i ]_w
[_w b ɾ a s ]_w
[_w d o k a ]_w
[_w a ɡ d e ]_w
[_w t i o ]_w
[_w k a s a ]_w
[_w t o s ]_w
[_w r o b a ]_w
[_w t i ɾ ]_w
[_w b o d ]_w
[_w ʎ e i ]_w
[_w ʒ u ɲ ]_w
[_w a b a ʎ ]_w
[_w k e d i ]_w
[_w m a i ]_w
[_w a m p ]_w
[_w ʃ i l ]_w
[_w b a l ]_w
[_w d o ts ]_w
[_w o t ɾ o ]_w
[_w b i e n ]_w
[_w b o t ]_w
[_w m a ɾ e ]_w
[_w e ʎ a ]_w
[_w o b ɾ e ]_w
[_w m e n ]_w
[_w p a s k ]_w
[_w s a n ]_w
[_w a l k n ]_w
[_w p i d a ]_w
[_w s e ɾ ]_w
[_w r u t a ]_w
[_w a r e u ]_w
[_w m o t a ]_w
[_w s o u ]_w
[_w d a ʎ ]_w
[_w ʒ u k a ]_w
[_w b o ɾ t ]_w
[_w o m e s ]_w
[_w p e s a ]_w
[_w b e n a ]_w
[_w f o d o ]_w
[_w a ɡ o ]_w
[_w t i b e ]_w
[_w b ɾ e n ]_w
[_w t i t a ]_w
[_w d a p a ]_w
[_w l a ɾ t ]_w
[_w f e s t ]_w
[_w ɡ o n s ]_w
[_w s e ɲ a ]_w
[_w k a o s ]_w
[_w d o ɾ i ]_w
[_w ʒ o k s ]_w
[_w r a k o ]_w
[_w p a r i ]_w
[_w i t e a ]_w
[_w o b t e ]_w
[_w t e l ]_w
[_w k o n ]_w
[_w s e t ]_w
[_w p o s o ]_w
[_w k a n ]_w
[_w k u ɾ a ]_w
[_w b a n d ]_w
[_w p o s k ]_w
[_w k o m ]_w
[_w k e r a ]_w
[_w a ʎ i ]_w
[_w f a ɾ e ]_w
[_w m a ɾ k ]_w
[_w o d ɾ o ]_w
[_w n u m ]_w
[_w p a ʒ i ]_w
[_w d o t e ]_w
[_w a s e ]_w
[_w ʒ i ɡ ]_w
[_w e n t o ]_w
[_w t u n s ]_w
[_w u a b ]_w
[_w b o ɾ a ]_w
[_w p o k a ]_w
[_w o l a ]_w
[_w p e l ]_w
[_w u n i o ]_w
[_w s o l s ]_w
[_w n i t ]_w
[_w ʎ a ɾ ɡ ]_w
[_w p o t ]_w
[_w p a dʒ ]_w
[_w k a s ]_w
[_w k i a ]_w
[_w o l i ]_w
[_w a d u ɾ ]_w
[_w ʃ b i i ]_w
[_w s i n o ]_w
[_w e s e ]_w
[_w e m i s ]_w
[_w p e u ]_w
[_w t i ɾ e ]_w
[_w s e u ]_w
[_w d i s k ]_w
[_w ʎ o k ]_w
[_w d i ʃ i ]_w
[_w d o n a ]_w
[_w t i n t ]_w
[_w k o s a ]_w
[_w p e b ]_w
[_w b a n k ]_w
[_w ɡ a t a ]_w
[_w d i n d ]_w
[_w a u ɾ a ]_w
[_w s o n ]_w
[_w ʎ u n a ]_w
[_w k a m i ]_w
[_w p u n d ]_w
[_w ɡ o tʃ e ]_w
[_w t e l s ]_w
[_w s i b i ]_w
[_w ʎ a t i ]_w
[_w p o m a ]_w
[_w s e k ]_w
[_w k a l a ]_w
[_w u n i ɡ ]_w
[_w b o l ]_w
[_w e d a d ]_w
[_w m i t a ]_w
[_w ʃ o b e ]_w
[_w e s o ]_w
[_w a nː a ]_w
[_w p ɾ e u ]_w
[_w d a ɾ d ]_w
[_w k a d ]_w
[_w t i a ɾ ]_w
[_w d ɾ e z ]_w
[_w b e n t ]_w
[_w b a s ]_w
[_w e u a ]_w
[_w s u ɾ d ]_w
[_w f o n s ]_w
[_w k a m p ]_w
[_w d o d a ]_w
[_w k ɾ a n ]_w
[_w p o ɾ a ]_w
[_w p a t i ]_w
[_w p o l s ]_w
[_w b ɾ o p ]_w
[_w t e n t ]_w
[_w m e u s ]_w
[_w e s t ]_w
[_w i i i ]_w
[_w s o m ]_w
[_w b l e n ]_w
[_w ʎ u ɲ ]_w
[_w p i t a ]_w
[_w k o ɡ a ]_w
[_w a ʒ a ]_w
[_w k i n ]_w
[_w s u ɾ t ]_w
[_w s a p s ]_w
[_w b e u s ]_w
[_w p u n ts ]_w
[_w a m i k ]_w
[_w p ɾ o p ]_w
[_w t e l e ]_w
[_w ʎ i d ]_w
[_w t e i ʒ ]_w
[_w e sː e ɾ ]_w
[_w t a k s ]_w
[_w a ɾ d i ]_w
[_w f o s ]_w
[_w m i n i ]_w
[_w s a n t ]_w
[_w d i t ]_w
[_w t o l s ]_w
[_w m a l s ]_w
[_w s i k t ]_w
[_w b e ʎ s ]_w
[_w k a p ]_w
[_w l a b a ]_w
[_w m e ɲ s ]_w
[_w f u ʒ i ]_w
[_w e k i b ]_w
[_w t a n t ]_w
[_w b a s t ]_w
[_w k a ɾ n ]_w
[_w t i n d ]_w
[_w s ɔ l ]_w
[_w b e ɾ e ]_w
[_w s e ɾ d ]_w
[_w t i ɾ o ]_w
[_w d a k a ]_w
[_w m e z ]_w
[_w o l o ɾ ]_w
[_w a b o ɾ ]_w
[_w d i n k ]_w
[_w r e d a ]_w
[_w p e i a ]_w
[_w a b i s ]_w
[_w p i t ]_w
[_w a b e n ]_w
[_w b e n ]_w
[_w s e u s ]_w
[_w f a n ]_w
[_w f l o ɾ ]_w
[_w p a l ]_w
[_w d o ɾː o ]_w
[_w ɡ o ʎ a ]_w
[_w s u s ]_w
[_w s o n a ]_w
[_w k ɾ o k ]_w
[_w a i ɾ ]_w
[_w s i d o ]_w
[_w a ɾ m e ]_w
[_w k ɾ e ɡ ]_w
[_w d a l t ]_w
[_w k o m o ]_w
[_w f a m a ]_w
[_w ɡ o m u ]_w
[_w p i b a ]_w
[_w o b ɾ a ]_w
[_w e n ɡ a ]_w
[_w a p ɾ ]_w
[_w d a ɡ a ]_w
[_w p a d e ]_w
[_w ɡ ɾ e a ]_w
[_w m e u a ]_w
[_w d o n ]_w
[_w a l t a ]_w
[_w a d a k ]_w
[_w d a ɲ ]_w
[_w d o s ]_w
[_w s o d a ]_w
[_w t a n ]_w
[_w t i n k ]_w
[_w p o k ]_w
[_w d i a s ]_w
[_w e i ʃ e ]_w
[_w f e ɾ o ]_w
[_w o u s ]_w
[_w m o d ]_w
[_w f u ʎ a ]_w
[_w f u n t ]_w
[_w p o l ]_w
[_w k o ʎ ]_w
[_w p e ɾ e ]_w
[_w d i e m ]_w
[_w e ɾ e n ]_w
[_w ʒ o i a ]_w
[_w ʎ u ɲ a ]_w
[_w p u k i ]_w
[_w r e s ]_w
[_w p e n t ]_w
[_w ɡ o ɾ ts ]_w
[_w z o d a ]_w
[_w ʃ o k s ]_w
[_w r o m a ]_w
[_w p e ɾ d ]_w
[_w ɡ o dʒ e ]_w
[_w p l a u ]_w
[_w p o n d ]_w
[_w s e ɡ ɾ ]_w
[_w k u l ]_w
[_w s o k ]_w
[_w d e s ]_w
[_w d o d o ]_w
[_w t o ɾ i ]_w
[_w b a s k ]_w
[_w ʒ u a n ]_w
[_w p e n ]_w
[_w b o ɡ a ]_w
[_w a n a l ]_w
[_w p a m ]_w
[_w e i n a ]_w
[_w a n t ]_w
[_w a p i t ]_w
[_w f i ʎ ]_w
[_w ɡ i n s ]_w
[_w d u n a ]_w
[_w a n a t ]_w
[_w ʃ e s t ]_w
[_w t e s o ]_w
[_w u ʎ s ]_w
[_w a t e u ]_w
[_w t i n ɡ ]_w
[_w a ɾ a ]_w
[_w a i ʃ i ]_w
[_w t a ɾ t ]_w
[_w d ɾ a n ]_w
[_w b i e s ]_w
[_w d ɾ a t ]_w
[_w p a n ]_w
[_w ɡ u ɾ ts ]_w
[_w ʎ u i s ]_w
[_w m a ɡ a ]_w
[_w t e i ʃ ]_w
[_w f o t o ]_w
[_w ʒ u tʃ e ]_w
[_w k a u ]_w
[_w d i a l ]_w
[_w b e s ]_w
[_w f a s i ]_w
[_w m o l ts ]_w
[_w d o l s ]_w
[_w s e ɡ a ]_w
[_w ʎ i k a ]_w
[_w p a n k ]_w
[_w p a ɾ e ]_w
[_w a ʒ i ]_w
[_w t a ɡ s ]_w
[_w f o ɾ a ]_w
[_w k e t o ]_w
[_w ʒ u ɡ a ]_w
[_w o ɾ a l ]_w
[_w i ʎ a ]_w
[_w e n s e ]_w
[_w ʒ a sː ]_w
[_w p e ɾ s ]_w
[_w a p e ɾ ]_w
[_w e k o n ]_w
[_w p a p a ]_w
[_w d ɾ a m ]_w
[_w p a n d ]_w
[_w f e u ]_w
[_w p i n t ]_w
[_w l e n d ]_w
[_w m o d e ]_w
[_w ʒ o k ]_w
[_w ʒ e mː a ]_w
[_w a n t o ]_w
[_w l e d a ]_w
[_w t o d ]_w
[_w f o ɾ t ]_w
[_w b o k s ]_w
[_w s a l d ]_w
[_w p ɛ l ]_w
[_w s e ɡ ]_w
[_w b a i ʃ ]_w
[_w k ɾ u p ]_w
[_w n o p a ]_w
[_w p e n i ]_w
[_w ʒ u n t ]_w
[_w a k o ]_w
[_w a n d ]_w
[_w t i n s ]_w
[_w d a k i ]_w
[_w d i n ɡ ]_w
[_w d o t a ]_w
[_w d o l ]_w
[_w k w e s ]_w
[_w d a l a ]_w
[_w p o s ]_w
[_w a b u i ]_w
[_w a m i ɡ ]_w
[_w p l e ]_w
[_w ɡ i a ]_w
[_w k e t a ]_w
[_w s o f a ]_w
[_w p a d a ]_w
[_w t i s k ]_w
[_w n e s ]_w
[_w l o l i ]_w
[_w t i a l ]_w
[_w b o u ]_w
[_w n i d ]_w
[_w n a p a ]_w
[_w d a l ]_w
[_w t u n a ]_w
[_w a t ɛ s ]_w
[_w d i m a ]_w
[_w e n t a ]_w
[_w n a s i ]_w
[_w e t i t ]_w
[_w d ɾ e t ]_w
[_w f i ʎ a ]_w
[_w k a ɾ d ]_w
[_w k i n s ]_w
[_w t o ɡ a ]_w
[_w p a i ʒ ]_w
[_w ɡ e r a ]_w
[_w s i ɡ a ]_w
[_w d e ʎ a ]_w
[_w k s t ]_w
[_w b o ts ]_w
[_w a p i s ]_w
[_w l u s ]_w
[_w b a s o ]_w
[_w l a s ]_w
[_w b a t a ]_w
[_w t i u s ]_w
[_w s o r a ]_w
[_w t a s ]_w
[_w p e i ʃ ]_w
[_w k a ʎ a ]_w
[_w d a ɾ t ]_w
[_w t a b a ]_w
[_w p a ɾ t ]_w
[_w w e b ]_w
[_w ɡ a m b ]_w
[_w d i k i ]_w
[_w b u ɾ a ]_w
[_w b a m ]_w
[_w a n t i ]_w
[_w p a ɾ k ]_w
[_w ɡ a ʎ a ]_w
[_w t o n i ]_w
[_w p o ɾ k ]_w
[_w p i a ]_w
[_w s e k a ]_w
[_w ʎ u m s ]_w
[_w a m o ɾ ]_w
[_w r i u s ]_w
[_w f e t ]_w
[_w e s a ]_w
[_w t e ɾ s ]_w
[_w s a n ɡ ]_w
[_w a b i a ]_w
[_w s o l a ]_w
[_w m e l ]_w
[_w b i u s ]_w
[_w t ɾ a t ]_w
[_w m a p a ]_w
[_w a ɡ t e ]_w
[_w r a o ]_w
[_w b a ɡ o ]_w
[_w ʒ p i i ]_w
[_w a b e ɾ ]_w
[_w a s a tʃ ]_w
[_w d i p e ]_w
[_w b l o ɡ ]_w
[_w d i e n ]_w
[_w t o n a ]_w
[_w a s t a ]_w
[_w m a s a ]_w
[_w b i ɡ ]_w
[_w i k o n ]_w
[_w a l b a ]_w
[_w l u i s ]_w
[_w z o l a ]_w
[_w i d a l ]_w
[_w t ɾ i a ]_w
[_w t i n a ]_w
[_w b e d o ]_w
[_w ʒ e n s ]_w
[_w p i u ]_w
[_w e i ʃ a ]_w
[_w f i l a ]_w
[_w w e ɾ t ]_w
[_w k a p a ]_w
[_w ʃ i ɾ a ]_w
[_w m a n a ]_w
[_w e t a t ]_w
[_w a n e u ]_w
[_w ʒ e s t ]_w
[_w p i e s ]_w
[_w ɡ u ɾ s ]_w
[_w e t i d ]_w
[_w a l s a ]_w
[_w m a s ]_w
[_w a ʎ a ]_w
[_w t a ɾ d ]_w
[_w e m b o ]_w
[_w b o ɾ ɡ ]_w
[_w ɡ w a l ]_w
[_w d ɾ e ts ]_w
[_w n o i s ]_w
[_w o ɾ ɡ ]_w
[_w ɡ o n ]_w
[_w p i s ]_w
[_w t ɾ e d ]_w
[_w b o n s ]_w
[_w b e b ]_w
[_w d ɾ e s ]_w
[_w a b i d ]_w
[_w m i ɡ a ]_w
[_w k o ɾ s ]_w
[_w i e s ]_w
[_w p a s t ]_w
[_w b e p ]_w
[_w s e l s ]_w
[_w d e s o ]_w
[_w o ʒ o s ]_w
[_w b u i d ]_w
[_w t o l i ]_w
[_w s o l o ]_w
[_w d a r a ]_w
[_w z e k ɾ ]_w
[_w o t ɾ a ]_w
[_w e ɡ o ]_w
[_w p e n d ]_w
[_w t o d e ]_w
[_w a p a ɾ ]_w
[_w m u k o ]_w
[_w p e s ]_w
[_w a b ɾ ]_w
[_w k ɾ a u ]_w
[_w k o n z ]_w
[_w k ɾ i m ]_w
[_w s i u ]_w
[_w p i b ]_w
[_w ʎ o ɡ ]_w
[_w p a ɾ ts ]_w
[_w p l a t ]_w
[_w f u e ]_w
[_w b o k ]_w
[_w d ɾ e u ]_w
[_w s i n ɡ ]_w
[_w p e i ʒ ]_w
[_w t a ʎ ]_w
[_w r a dʒ ]_w
[_w t i k i ]_w
[_w r i t a ]_w
[_w d o n i ]_w
[_w b a ɾ k ]_w
[_w d e u a ]_w
[_w f e b ]_w
[_w t ɾ o s ]_w
[_w b a ʒ a ]_w
[_w e b ɾ e ]_w
[_w z a n ɡ ]_w
[_w w e p ]_w
[_w a ʎ ɔ ]_w
[_w s e p a ]_w
[_w f o k ]_w
[_w ʒ e n d ]_w
[_w t u n ]_w
[_w n e n s ]_w
[_w ɡ a d ]_w
[_w d ɾ e d ]_w
[_w b u k ]_w
[_w b a i ʒ ]_w
[_w m e t i ]_w
[_w d o ɾ a ]_w
[_w r o t a ]_w
[_w ɡ a b s ]_w
[_w r o d a ]_w
[_w b e s a ]_w
[_w b e ʎ a ]_w
[_w l e m ]_w
[_w m a l a ]_w
