[_w d i s ]_w
[_w ɾ a s ə ]_w
[_w d ɨ d i ]_w
[_w ɡ o t ə ]_w
[_w b o k o ]_w
[_w s a ɸ a ]_w
[_w p o k o ]_w
[_w x e i a ]_w
[_w b u ɡ ]_w
[_w n a x i ]_w
[_w b ə ⁿd ə ]_w
[_w ɸ o ⁿd ə ]_w
[_w ᵐb ɨ s u ]_w
[_w n e ⁿd ə ]_w
[_w k o t a ]_w
[_w i n i ]_w
[_w n a ⁿd u ]_w
[_w ᵑɡ o ᵐb o ]_w
[_w b ɾ a s ]_w
[_w x a n ɨ ]_w
[_w m a ⁿd ɨ ]_w
[_w ᵑɡ u w a ]_w
[_w s a o ]_w
[_w x ə m o ]_w
[_w a b e ]_w
[_w n a ⁿd e ]_w
[_w ɡ a ɾ u ]_w
[_w w a n a ]_w
[_w ɡ a p e ]_w
[_w n ə n e ]_w
[_w b o ɡ o ]_w
[_w ⁿd ɨ x ə ]_w
[_w k o ɾ ]_w
[_w k a i ]_w
[_w k ɨ d e ]_w
[_w ɡ o d ə ]_w
[_w ɾ a n i ]_w
[_w b a b ə ]_w
[_w x ɨ ɸ ɨ ]_w
[_w m a ɡ ]_w
[_w k a d ə ]_w
[_w s a x ə ]_w
[_w k a p e ]_w
[_w k ə m ə ]_w
[_w ᵐb ə s a ]_w
[_w k a k ə ]_w
[_w p ə ⁿd o ]_w
[_w ⁿd o ⁿd u ]_w
[_w t o ᵑɡ i ]_w
[_w p a i ]_w
[_w ɡ a ɡ ə ]_w
[_w p ə ɾ a ]_w
[_w ⁿd o ɾ e ]_w
[_w p e ɸ e ]_w
[_w s t a t ]_w
[_w k i ɸ e ]_w
[_w ɡ u d u ]_w
[_w ɾ a ɾ u ]_w
[_w s o p a ]_w
[_w j a ɸ o ]_w
[_w b i j u ]_w
[_w b ɾ e d ]_w
[_w ᵐb ɨ s ə ]_w
[_w ⁿd u ⁿd ə ]_w
[_w x a ɸ u ]_w
[_w w i t ]_w
[_w k a i a ]_w
[_w i s i p ]_w
[_w m o a i ]_w
[_w k ɾ i k ]_w
[_w m a k ]_w
[_w b a ɾ u ]_w
[_w ɡ o ɾ ]_w
[_w ɾ u ɡ ]_w
[_w s o n a ]_w
[_w t ɨ ɾ e ]_w
[_w ɾ i s i ]_w
[_w b i d a ]_w
[_w k i t a ]_w
[_w b u ɾ ə ]_w
[_w s i b ]_w
[_w n a ᵐb a ]_w
[_w j i s ]_w
[_w b ə j u ]_w
[_w a w i ]_w
[_w n a x ɨ ]_w
[_w x ɨ d i ]_w
[_w x o ⁿd ə ]_w
[_w ɡ a ɾ e ]_w
[_w p ə b ə ]_w
[_w b a ⁿd o ]_w
[_w x o s ]_w
[_w t ə m e ]_w
[_w p o d o ]_w
[_w s u s ]_w
[_w d ɨ t i ]_w
[_w s a ⁿd a ]_w
[_w ᵑɡ u ɾ ə ]_w
[_w d a d e ]_w
[_w k o d ]_w
[_w t ɨ d ɨ ]_w
[_w ɸ ə ɾ a ]_w
[_w d a d ə ]_w
[_w x a ɾ e ]_w
[_w ɾ e d ]_w
[_w s i p ]_w
[_w j a ɸ u ]_w
[_w s i j o ]_w
[_w j a x a ]_w
[_w b e ɡ ]_w
[_w k a ɾ ə ]_w
[_w b e k ]_w
[_w ɸ i ᵐb o ]_w
[_w x a s ə ]_w
[_w e ɸ u ]_w
[_w ɾ ə x ɨ ]_w
[_w n a ɸ u ]_w
[_w p a ⁿd e ]_w
[_w k ɨ ⁿd o ]_w
[_w k o d a ]_w
[_w d a p o ]_w
[_w ⁿd ə ᵐb o ]_w
[_w ᵐb ə s o ]_w
[_w k o s ə ]_w
[_w d a b o ]_w
[_w p o ɾ ]_w
[_w a p e d ]_w
[_w p o b o ]_w
[_w b i a ]_w
[_w n a ᵑɡ o ]_w
[_w s e n ]_w
[_w b e b a ]_w
[_w s ɨ n ɨ ]_w
[_w x ɨ ⁿd ə ]_w
[_w d ə t ə ]_w
[_w p o t ]_w
[_w ɸ i ⁿd ə ]_w
[_w ɡ o s ə ]_w
[_w ᵑɡ a ɸ ə ]_w
[_w d ə p o ]_w
[_w a p e ]_w
[_w p o ɡ o ]_w
[_w k o d ə ]_w
[_w w i ɡ ]_w
[_w d ɨ d ə ]_w
[_w s o ɾ ]_w
[_w n a m ə ]_w
[_w ɾ a k u ]_w
[_w ɾ o t ]_w
[_w s i x ə ]_w
[_w ɡ ɨ d u ]_w
[_w j a ɾ u ]_w
[_w k e p ɨ ]_w
[_w b ə ⁿd a ]_w
[_w s a ɸ e ]_w
[_w b ə ɾ a ]_w
[_w ɡ i n ə ]_w
[_w x a ɸ ə ]_w
[_w w e ᵐb o ]_w
[_w j e i ]_w
[_w k ə ɾ ə ]_w
[_w s ɨ ᵐb o ]_w
[_w a p e ɾ ]_w
[_w p e k ]_w
[_w ⁿd ɨ ɾ ɨ ]_w
[_w ɡ o t a ]_w
[_w j a ɾ o ]_w
[_w d ə b o ]_w
[_w ɾ o m ]_w
[_w m a b u ]_w
[_w o ɾ i ɸ ]_w
[_w p ɾ e t ]_w
[_w s a ᵐb o ]_w
[_w b a i ]_w
[_w s e s ɨ ]_w
[_w p ə ⁿd a ]_w
[_w b ə b ə ]_w
[_w ɡ ɨ t o ]_w
[_w x a i ]_w
[_w ɾ o t u ]_w
[_w s a i ]_w
[_w ɸ i x ɨ ]_w
[_w ɡ ɾ i k ]_w
[_w ɡ a p ]_w
[_w t a d e ]_w
[_w ɡ o s o ]_w
[_w a b o ]_w
[_w t a ɡ o ]_w
[_w k e b ɨ ]_w
[_w k i d a ]_w
[_w ɾ a ɾ o ]_w
[_w m o m o ]_w
[_w s ɨ n ə ]_w
[_w ɾ u k ]_w
[_w b o ɾ ]_w
[_w d a t ə ]_w
[_w t ə ɸ o ]_w
[_w k o ɡ u ]_w
[_w p ə j u ]_w
[_w t a p o ]_w
[_w t ɨ d ə ]_w
[_w b o p o ]_w
[_w ɾ a ɡ o ]_w
[_w x u ᵐb o ]_w
[_w ᵐb u ⁿd u ]_w
[_w k o ɾ ə ]_w
[_w b i ɾ e ]_w
[_w x a ɸ e ]_w
[_w k ɨ t e ]_w
[_w a x o ]_w
[_w ⁿd i x ə ]_w
[_w x o x u ]_w
[_w ⁿd a ɾ e ]_w
[_w k a ɾ u ]_w
[_w ɡ e n a ]_w
[_w ᵑɡ u ᵐb o ]_w
[_w e n o ɡ ]_w
[_w p ə ɾ ə ]_w
[_w ɡ ə m ə ]_w
[_w x ɨ ɸ u ]_w
[_w a n a ]_w
[_w ⁿd a ɾ ə ]_w
[_w ɡ ɨ d e ]_w
[_w k a ɡ ə ]_w
[_w b o b o ]_w
[_w ɡ e n ]_w
[_w k ɨ ɾ u ]_w
[_w ᵑɡ e ɸ ə ]_w
[_w ɡ ɾ i t ]_w
[_w t a t e ]_w
[_w k e ɸ e ]_w
[_w ⁿd o ɸ e ]_w
[_w ɾ a ɾ i ]_w
[_w k ɾ i t ]_w
[_w a ɾ ɨ ]_w
[_w k a p ]_w
[_w b e j a ]_w
[_w ɡ a i ]_w
[_w s e ɾ ]_w
[_w ɡ u d i ]_w
[_w s a d u ]_w
[_w x a x ə ]_w
[_w e ɾ i ]_w
[_w ᵐb o ɾ a ]_w
[_w ⁿd a ⁿd ə ]_w
[_w ɡ i ɸ i ]_w
[_w m e m e ]_w
[_w x a ⁿd ə ]_w
[_w ɡ a ɸ u ]_w
[_w m a t a ]_w
[_w t e n ]_w
[_w a p o ]_w
[_w b ə p ə ]_w
[_w x a ᵐb o ]_w
[_w p i a ]_w
[_w p a ⁿd o ]_w
[_w a b e t ]_w
[_w b u k ]_w
[_w s e i a ]_w
[_w ɡ e ɸ e ]_w
[_w p ə j o ]_w
[_w ɡ i ɸ e ]_w
[_w n o a ]_w
[_w ᵑɡ a x ə ]_w
[_w ɡ a p a ]_w
[_w t ə p o ]_w
[_w t a i ɾ ]_w
[_w t a d ə ]_w
[_w t ɨ t ə ]_w
[_w d a ɡ o ]_w
[_w ɡ ɨ ⁿd o ]_w
[_w ɸ a ⁿd u ]_w
[_w ɾ ɨ x ə ]_w
[_w s a t u ]_w
[_w ⁿd a ɾ u ]_w
[_w p i ɾ e ]_w
[_w b a s ]_w
[_w ɡ ɨ d o ]_w
[_w k ɾ i ɡ ]_w
[_w p o p o ]_w
[_w s u t a ]_w
[_w ɡ e b ɨ ]_w
[_w p e j a ]_w
[_w n a ⁿd ə ]_w
[_w ɡ u s ɨ ]_w
[_w k e n ]_w
[_w ɡ o ɾ ə ]_w
[_w p e b a ]_w
[_w p u k ]_w
[_w k a b ]_w
[_w b ə ɾ e ]_w
[_w d ɨ ɾ e ]_w
[_w ɡ o ɡ u ]_w
[_w b e ɸ e ]_w
[_w ⁿd o ɾ u ]_w
[_w ɡ o d ]_w
[_w t ɨ t ɨ ]_w
[_w t a b o ]_w
[_w b o t ]_w
[_w s ɨ ᵐb u ]_w
[_w t i s ]_w
[_w p o t o ]_w
[_w b ə ⁿd o ]_w
[_w d ɨ ɸ u ]_w
[_w m a j u ]_w
[_w p u ɡ ]_w
[_w p ɾ a s ]_w
[_w ɾ o d ]_w
[_w k ɨ d o ]_w
[_w t ɨ d i ]_w
[_w p a ɾ e ]_w
[_w p a ɾ u ]_w
[_w x ɨ t i ]_w
[_w d ə m e ]_w
[_w p i j u ]_w
[_w ⁿd ə x u ]_w
[_w ɾ a k o ]_w
[_w p ə p ə ]_w
[_w ɾ a ⁿd a ]_w
[_w ɡ ɨ ɾ e ]_w
[_w ɡ a t ə ]_w
[_w t ə m o ]_w
[_w t ɨ ɾ u ]_w
[_w m i d a ]_w
[_w t ɨ ɸ u ]_w
[_w b o d o ]_w
[_w k ɨ t o ]_w
[_w p e p a ]_w
[_w t a k o ]_w
[_w b ə j o ]_w
[_w d ə m o ]_w
[_w d a t e ]_w
[_w ɡ a d ə ]_w
[_w k a p a ]_w
[_w ɡ ə ɾ ə ]_w
[_w b u s ə ]_w
[_w a p e t ]_w
[_w w i d ]_w
[_w k a t ə ]_w
[_w p e ɡ ]_w
[_w b e p a ]_w
[_w p u s ə ]_w
[_w ɡ u t i ]_w
[_w t a t ə ]_w
[_w b u s i ]_w
[_w ɾ e t ]_w
[_w k ɾ i d ]_w
[_w ɡ e p ɨ ]_w
[_w t ɨ t i ]_w
[_w k a b a ]_w
[_w s e i ]_w
[_w b o d ]_w
[_w ɡ o t ]_w
[_w b ɾ e t ]_w
[_w k o k u ]_w
[_w p o d ]_w
[_w k ɨ t u ]_w
[_w a b e ɾ ]_w
[_w ɡ a b e ]_w
[_w b i ɸ e ]_w
[_w ɡ a i a ]_w
[_w ɡ u t u ]_w
[_w ɡ ɨ ɾ u ]_w
[_w ɾ a ɡ u ]_w
[_w ɡ ɾ i d ]_w
[_w b o t o ]_w
[_w ɡ i t a ]_w
[_w ɡ o k u ]_w
[_w s u t ]_w
[_w b ə t ə ]_w
[_w ɡ i d a ]_w
[_w ɡ ɨ t e ]_w
[_w ɡ ɨ t u ]_w
[_w b ə ɾ ə ]_w
[_w d ɨ t ə ]_w
[_w ɸ i ɡ ]_w
[_w k u t u ]_w
[_w ɡ ɾ i ɡ ]_w
[_w ɡ a b a ]_w
