[_w p a s ]_w
[_w a s aː ]_w
[_w d̪ i n a ]_w
[_w ɡ a r a ]_w
[_w k a h a ]_w
[_w dʒ oː r dʒ ]_w
[_w ɡ u n a ]_w
[_w s i t̪ u ]_w
[_w b i d̪ː i ]_w
[_w s i ʈ i ]_w
[_w k u ʈ aː ]_w
[_w ʋ i ʃ a ]_w
[_w tʃ a n a ]_w
[_w k e n ]_w
[_w h æ k i ]_w
[_w ʋ i d̪ a ]_w
[_w m e h i ]_w
[_w ʋ e l a ]_w
[_w p a l a ]_w
[_w p o t̪ u ]_w
[_w i lː iː m ]_w
[_w r a dʒ u ]_w
[_w ʋ a t̪ a ]_w
[_w l oː h a ]_w
[_w k a s ]_w
[_w d̪ a n i ]_w
[_w k u l a ]_w
[_w b u d̪ a ]_w
[_w d̪ a m a ]_w
[_w s a l a ]_w
[_w k a ʈ a ]_w
[_w h a s u ]_w
[_w d̪ u n ]_w
[_w j u d̪ː a ]_w
[_w k æ p iː ]_w
[_w u t̪ aː ]_w
[_w t̪ a m a ]_w
[_w k a n a ]_w
[_w ʈ o n ]_w
[_w j a n a ]_w
[_w s i d̪ a ]_w
[_w p aː h eː ]_w
[_w d̪ u r a ]_w
[_w m aː s a ]_w
[_w h eː t̪ u ]_w
[_w j a ɖ a ]_w
[_w ʋ eː k a ]_w
[_w t̪ u k a ]_w
[_w b a ʈ a ]_w
[_w s i r i ]_w
[_w j a n aː ]_w
[_w a j e k ]_w
[_w j aː m eː ]_w
[_w b o t̪ a ]_w
[_w r oː m a ]_w
[_w tʃ iː n a ]_w
[_w p æ r i ]_w
[_w b i ʈ a ]_w
[_w t̪ æ n a ]_w
[_w t̪ i j a ]_w
[_w m a n oː ]_w
[_w t̪ eː ʃ a ]_w
[_w j u k a ]_w
[_w l i j aː ]_w
[_w h æ r iː ]_w
[_w e d̪ e k ]_w
[_w ɡ o s ]_w
[_w d̪ i b u ]_w
[_w s eː d̪ a ]_w
[_w s u ʋ a ]_w
[_w j a ʈ a ]_w
[_w r a ɖ a ]_w
[_w p a ʈ u ]_w
[_w h a j a ]_w
[_w æ j a ]_w
[_w d̪ e k a ]_w
[_w r a s a ]_w
[_w d̪ e s a ]_w
[_w ɡ a n i ]_w
[_w s a h a ]_w
[_w d̪ u m aː ]_w
[_w s a nː a ]_w
[_w m a l a ]_w
[_w d̪ i ʋ aː ]_w
[_w ʋ æ ɖ i ]_w
[_w n a ʈ a ]_w
[_w p u r aː ]_w
[_w o b a ʈ ]_w
[_w ɡ oː l a ]_w
[_w s a ʋ i ]_w
[_w ʋ a ʈ aː ]_w
[_w ʋ u n u ]_w
[_w ɖ e s ʈ ]_w
[_w ʋ a l a ]_w
[_w p aː n a ]_w
[_w l æ b a ]_w
[_w j a k a ]_w
[_w aː n ʈ u ]_w
[_w p aː l a ]_w
[_w b æ n i ]_w
[_w o b eː ]_w
[_w m a d̪ a ]_w
[_w k a n u ]_w
[_w dʒ iː ʋ a ]_w
[_w d̪ e k ]_w
[_w dʒ ai ʋ a ]_w
[_w h a m u ]_w
[_w a t̪ i n ]_w
[_w p e r a ]_w
[_w e j i n ]_w
[_w n i j a ]_w
[_w s a r a ]_w
[_w d̪ aː t̪ u ]_w
[_w k aː r a ]_w
[_w d̪ eː ʃ a ]_w
[_w aː t̪ a r ]_w
[_w r a tʃ u ]_w
[_w ʋ eː t̪ a ]_w
[_w a r a m ]_w
[_w t̪ i n a ]_w
[_w k i ʋː eː ]_w
[_w l a ᵑɡ aː ]_w
[_w ʋ a t̪ ]_w
[_w m i s a ]_w
[_w ʋ a k a ]_w
[_w dʒ iː ʋ i ]_w
[_w æ ⁿd̪ iː m ]_w
[_w p a ʋ a ]_w
[_w ʋ a s ]_w
[_w d̪ a r u ]_w
[_w l a b a ]_w
[_w a j a n ]_w
[_w h o ⁿd̪ a ]_w
[_w d̪ a d̪ː a ]_w
[_w m i d̪ iː ]_w
[_w d̪ u l a ]_w
[_w æ t̪ː a ]_w
[_w l i b i ]_w
[_w ʃ aː l aː ]_w
[_w j u d̪ a ]_w
[_w h a r i ]_w
[_w l o m ]_w
[_w ʃ i j aː ]_w
[_w ʋ i t̪ i ]_w
[_w d̪ e j i ]_w
[_w a r t̪ a ]_w
[_w r aː dʒ a ]_w
[_w p a s a ]_w
[_w ʋ a d̪ a ]_w
[_w p iː ʈ aː ]_w
[_w i k e n ]_w
[_w e kː a ]_w
[_w e nː eː ]_w
[_w ɡ o l a ]_w
[_w b u d̪ u ]_w
[_w k a ʈ u ]_w
[_w m a r aː ]_w
[_w u p a n ]_w
[_w n æ ʋ a ]_w
[_w l a p a ]_w
[_w ʋ u ʋ a ]_w
[_w l aː p a ]_w
[_w ʋ æ s i ]_w
[_w a n a ]_w
[_w s u d̪ u ]_w
[_w p i j aː ]_w
[_w d̪ u r u ]_w
[_w b æ d̪ i ]_w
[_w a ʈ i ]_w
[_w e k e n ]_w
[_w p i l i ]_w
[_w d̪ e k eː ]_w
[_w n o ʋ eː ]_w
[_w s u t̪ u ]_w
[_w k u n a ]_w
[_w l e s a ]_w
[_w i ʋ a d̪ ]_w
[_w r a dʒ a ]_w
[_w l æ b uː ]_w
[_w p u t̪ː i ]_w
[_w ʋ e j i ]_w
[_w k a n i ]_w
[_w ʋ a r a ]_w
[_w a ʋ u l ]_w
[_w s iː n i ]_w
[_w h i m a ]_w
[_w k oː b i ]_w
[_w d̪ a n a ]_w
[_w ʋ i m a ]_w
[_w d̪ a ʈ a ]_w
[_w p uː m i ]_w
[_w h i t̪ a ]_w
[_w p a h u ]_w
[_w d̪ u l i ]_w
[_w b a l a ]_w
[_w ʋ æ ʋ ]_w
[_w k a m a ]_w
[_w p i j a ]_w
[_w j u d̪ u ]_w
[_w h e l i ]_w
[_w r aː ʋ a ]_w
[_w b a h a ]_w
[_w d̪ æː ɡː a ]_w
[_w ɡ a t̪ aː ]_w
[_w ʋ a k aː ]_w
[_w m a r a ]_w
[_w b au d̪ː a ]_w
[_w s eː ʋ aː ]_w
[_w ʋ i j a ]_w
[_w d̪ i j a ]_w
[_w ʋ aː s i ]_w
[_w b u t̪ ]_w
[_w b i h i ]_w
[_w ɡ o ʋ i ]_w
[_w ʋ e t̪ a ]_w
[_w u ɖ a ]_w
[_w ʋ u n eː ]_w
[_w p æ t̪ i ]_w
[_w a ʋ a s ]_w
[_w n o ʋ iː ]_w
[_w h aː n i ]_w
[_w n æ d̪ i ]_w
[_w ɡ a t̪ ]_w
[_w r aː m u ]_w
[_w n i d̪ a ]_w
[_w p i r iː ]_w
[_w p eː l i ]_w
[_w ʋ aː n eː ]_w
[_w j aː m a ]_w
[_w l i p i ]_w
[_w m e m a ]_w
[_w d̪ i p u ]_w
[_w p aː d̪ a ]_w
[_w u k r a ]_w
[_w m a m a ]_w
[_w t̪ u l a ]_w
[_w e m a ]_w
[_w m u d̪ u ]_w
[_w a h a s ]_w
[_w s i d̪ ]_w
[_w a ʋ a t̪ ]_w
[_w d̪ a ʋ a ]_w
[_w t̪ aː b a ]_w
[_w s æ k a ]_w
[_w i sː a n ]_w
[_w n i t̪ a ]_w
[_w ɡ a t̪ i ]_w
[_w j oː n i ]_w
[_w k aː l a ]_w
[_w l a d̪ː eː ]_w
[_w s i t̪ ]_w
[_w p æ ⁿd̪ iː ]_w
[_w a l p a ]_w
[_w t̪ i sː eː ]_w
[_w a n e k ]_w
[_w p a h a ]_w
[_w s æː t̪ iː ]_w
[_w b a l aː ]_w
[_w h æ t̪ i ]_w
[_w p u t̪ u ]_w
[_w r a ɖ eː ]_w
[_w j a t̪ aː ]_w
[_w l o ʋ a ]_w
[_w b a t̪ a ]_w
[_w ʋ e n a ]_w
[_w e h e t̪ ]_w
[_w j u ɡ a ]_w
[_w m a ʋ ]_w
[_w n i s aː ]_w
[_w d̪ æ j i ]_w
[_w m aː r u ]_w
[_w ʋ aː r a ]_w
[_w m u t̪ u ]_w
[_w s i ʈ a ]_w
[_w d̪ a h a ]_w
[_w s a t̪ a ]_w
[_w dʒ a n a ]_w
[_w l a ᵑɡ a ]_w
[_w e h aː ]_w
[_w p a n a ]_w
[_w ɡ i n ]_w
[_w ɡ a t̪ː eː ]_w
[_w k a l u ]_w
[_w ɡ æ b a ]_w
[_w ʋ uː j eː ]_w
[_w r a ʈ eː ]_w
[_w h i s ]_w
[_w a b a r ]_w
[_w p o d̪ u ]_w
[_w m aː j aː ]_w
[_w m aː t̪ a ]_w
[_w k i ʈː u ]_w
[_w p a l aː ]_w
[_w ɡ i ʋː aː ]_w
[_w j e t̪ iː ]_w
[_w j o m u ]_w
[_w s i j a ]_w
[_w u p a t̪ ]_w
[_w b o t̪ ]_w
[_w b o ɖ i ]_w
[_w m u l u ]_w
[_w ɡ i l oː ]_w
[_w ɡ a l eː ]_w
[_w s i t̪ː i ]_w
[_w p æ n i ]_w
[_w ɡ æ n a ]_w
[_w t̪ iː j a ]_w
[_w e n a ]_w
[_w tʃ oː l a ]_w
[_w s i d̪ː i ]_w
[_w m i n i ]_w
[_w e k a t̪ ]_w
[_w m æː d̪ a ]_w
[_w k a l aː ]_w
[_w d̪ aː r aː ]_w
[_w t̪ u l i ]_w
[_w aː ɡ a m ]_w
[_w ɡ a s aː ]_w
[_w b e l a ]_w
[_w tʃ a l a ]_w
[_w n u ʋ a ]_w
[_w d̪ u ɡ a ]_w
[_w t̪ u k ]_w
[_w ʋ i d̪ eː ]_w
[_w ɡ a n u ]_w
[_w a n i k ]_w
[_w h a ⁿɖ a ]_w
[_w ʋ i s uː ]_w
[_w h o d̪ a ]_w
[_w k a s aː ]_w
[_w aː d̪ iː ]_w
[_w t̪ e n aː ]_w
[_w e lː a ]_w
[_w b æ h æ ]_w
[_w m iː ʈ a ]_w
[_w a n i t̪ ]_w
[_w h i ʈ i ]_w
[_w d̪ iː l aː ]_w
[_w a t̪ i ]_w
[_w p i ʈ i ]_w
[_w p u d̪ u ]_w
[_w n aː s aː ]_w
[_w h æ kː eː ]_w
[_w u t̪ u m ]_w
[_w j a ʋ aː ]_w
[_w d̪ a n aː ]_w
[_w t̪ i b u ]_w
[_w ʋ a nː a ]_w
[_w t̪ a nː eː ]_w
[_w s u l u ]_w
[_w n i ʋ a ]_w
[_w l a k aː ]_w
[_w d̪ u k ]_w
[_w l æ b iː ]_w
[_w j æ j i ]_w
[_w i ʈ a ]_w
[_w p u d̪ː a ]_w
[_w a mː aː ]_w
[_w k i j a ]_w
[_w p u t̪ aː ]_w
[_w ʋ e nː a ]_w
[_w l e n a ]_w
[_w p aː ʈ a ]_w
[_w m aː n a ]_w
[_w ɡ a ɖ aː ]_w
[_w h æ ɡ i ]_w
[_w ɡ i s i ]_w
[_w s aː d̪ aː ]_w
[_w m æ ʈ a ]_w
[_w b u ʃ ]_w
[_w k oː ʃ a ]_w
[_w p i h i ]_w
[_w ʋ e p ]_w
[_w u p a ]_w
[_w n æ t̪ː eː ]_w
[_w u s a s ]_w
[_w ʋ æ ʈ i ]_w
[_w ɡ i ʋː eː ]_w
[_w d̪ a t̪ ]_w
[_w l u n u ]_w
[_w p æ h æ ]_w
[_w t̪ uː p a ]_w
[_w j aː n aː ]_w
[_w p a d̪ ]_w
[_w p i ʈ u ]_w
[_w e k t̪ a ]_w
[_w n æ t̪ a ]_w
[_w k i r i ]_w
[_w k e n aː ]_w
[_w s t̪ r iː ]_w
[_w p i ʈ a ]_w
[_w i ʋ a t̪ ]_w
[_w a lː aː ]_w
[_w b a d̪ a ]_w
[_w i nː a ]_w
[_w b æ d̪ iː ]_w
[_w d̪ a r aː ]_w
[_w d̪ u n a ]_w
[_w k a t̪ ]_w
[_w j a h a ]_w
[_w k o ʋ i ]_w
[_w æ ⁿd̪ u m ]_w
[_w m o n a ]_w
[_w a l u t̪ ]_w
[_w d̪ a s a ]_w
[_w n o ʋ a ]_w
[_w d̪ i ɡ eː ]_w
[_w r a n ]_w
[_w ʋ e b ]_w
[_w h æ ɖ a ]_w
[_w m æ ɖ a ]_w
[_w d̪ i ɡ ]_w
[_w a r d̪ a ]_w
[_w ʋ iː j a ]_w
[_w l a p aː ]_w
[_w t̪ a h a ]_w
[_w æ s a ]_w
[_w u b a n ]_w
[_w p a d̪ a ]_w
[_w i n t̪ i ]_w
[_w l oː ɡ a ]_w
[_w p a s eː ]_w
[_w t̪ u n i ]_w
[_w d̪ o r a ]_w
[_w i n d̪ a ]_w
[_w r iː t̪ i ]_w
[_w d̪ u nː a ]_w
[_w a k a l ]_w
[_w d̪ i ʋ a ]_w
[_w r i dʒ u ]_w
[_w t̪ u r a ]_w
[_w ʃ i l aː ]_w
[_w i ʈ a m ]_w
[_w æ t̪ i ]_w
[_w m a h a ]_w
[_w r a t̪ a ]_w
[_w s u b a ]_w
[_w ʋ æ ɖ a ]_w
[_w s a t̪ ]_w
[_w e s eː t̪ ]_w
[_w ʋ æ ʋ a ]_w
[_w k i h i ]_w
[_w ɡ e n a ]_w
[_w n æ ʋ ]_w
[_w ʃ aː k a ]_w
[_w æ d̪ u l ]_w
[_w ʋ a ɡ eː ]_w
[_w oː s oː n ]_w
[_w s o j aː ]_w
[_w p æ t̪ː eː ]_w
[_w d̪ æː ɡ i ]_w
[_w ɡ o n u ]_w
[_w ɡ a p aː ]_w
[_w aː n d̪ i ]_w
[_w r a tʃ a ]_w
[_w k a ⁿd̪ u ]_w
[_w s i ʈ iː ]_w
[_w æ t̪ a t̪ ]_w
[_w m a k a ]_w
[_w p o h oː ]_w
[_w t̪ a r a ]_w
[_w ʋ a d̪ aː ]_w
[_w p e d̪ i ]_w
[_w n au k aː ]_w
[_w n a j a ]_w
[_w b aː ʈ a ]_w
[_w ʋ i s u ]_w
[_w t̪ a l a ]_w
[_w u ʈ u ]_w
[_w d̪ e j a ]_w
[_w j a n u ]_w
[_w h e l a ]_w
[_w p a ʃ u ]_w
[_w p a s u ]_w
[_w l æ b u ]_w
[_w ʋ a t̪ u ]_w
[_w ʋ a m ]_w
[_w k a d̪ i ]_w
[_w ɡ a ɖ a ]_w
[_w i r a ]_w
[_w r a h a ]_w
[_w ɡ aː l a ]_w
[_w a ʋ u ]_w
[_w a t̪ a ]_w
[_w ɡ a n a ]_w
[_w ɡ e n ]_w
[_w u r aː ]_w
[_w k a l ]_w
[_w ʋ i l i ]_w
[_w k a s a ]_w
[_w a n a n ]_w
[_w ʋ iː r a ]_w
[_w dʒ aː l a ]_w
[_w b oː ɡ a ]_w
[_w d̪ u nː aː ]_w
[_w p o l a ]_w
[_w s i t̪ː a ]_w
[_w ʋ i t̪ a ]_w
[_w ʋ a k eː ]_w
[_w s k o ʈ ]_w
[_w e d̪ i n ]_w
[_w a j a d̪ ]_w
[_w t̪ u r u ]_w
[_w b aː t̪ aː ]_w
[_w p a ⁿd̪ a ]_w
[_w k aː dʒ a ]_w
[_w ɡ a l aː ]_w
[_w ɖ o n ]_w
[_w r a ʈ a ]_w
[_w t̪ i n aː ]_w
[_w u ɡ a t̪ ]_w
[_w a j a ]_w
[_w h i s a ]_w
[_w ʃ u d̪ː a ]_w
[_w k æ m i ]_w
[_w e b aː ]_w
[_w t̪ iː r u ]_w
[_w ʋ i d̪ i ]_w
[_w k a t̪ i ]_w
[_w t̪ aː d̪ u ]_w
[_w aː n a n ]_w
[_w ʋ e nː eː ]_w
[_w k a t̪ a ]_w
[_w r æ ⁿd̪ iː ]_w
[_w m i j a ]_w
[_w k a t̪ aː ]_w
[_w n a m a ]_w
[_w a ʋ a d̪ ]_w
[_w i ʈ u ]_w
[_w d̪ u nː eː ]_w
[_w k aː tʃ a ]_w
[_w r a d̪ aː ]_w
[_w oː n æː ]_w
[_w h i t̪ eː ]_w
[_w b æ l a ]_w
[_w eː k e n ]_w
[_w a k ʃ a ]_w
[_w p aː ʃ aː ]_w
[_w l a t̪ a ]_w
[_w b æ ⁿd̪ iː ]_w
[_w b a ʋ a ]_w
[_w ɡ o ʈ a ]_w
[_w p i m eː ]_w
[_w l a t̪ː eː ]_w
[_w b a s u ]_w
[_w r i t̪ iː ]_w
[_w a ɖ a k ]_w
[_w j a nː a ]_w
[_w ʋ æ ʈ iː ]_w
[_w i t̪ i ]_w
[_w r a ᵑɡ a ]_w
[_w p u d̪ aː ]_w
[_w p a t̪ i ]_w
[_w s oː m a ]_w
[_w s eː k a ]_w
[_w s e s u ]_w
[_w a m l a ]_w
[_w b uː dʒ aː ]_w
[_w a p i t̪ ]_w
[_w p æ j a ]_w
[_w e k a k ]_w
[_w p r aː ɡ ]_w
[_w a ʋ i ]_w
[_w æ t̪ æ m ]_w
[_w p u d̪ː i ]_w
[_w p aː r a ]_w
[_w k iː p a ]_w
[_w a l u d̪ ]_w
[_w i n d̪ i ]_w
[_w n a ʈ u ]_w
[_w p a t̪ː a ]_w
[_w a j a t̪ ]_w
[_w h iː n a ]_w
[_w m a t̪ u ]_w
[_w p e l a ]_w
[_w ʋ u h a ]_w
[_w æ j i ]_w
[_w æ l a ]_w
[_w d̪ a t̪ a ]_w
[_w e ʋ a n ]_w
[_w k i l oː ]_w
[_w ʈ e s ʈ ]_w
[_w s iː m aː ]_w
[_w d̪ æ n ]_w
[_w j oː r ɡ ]_w
[_w k æ n eː ]_w
[_w k a l eː ]_w
[_w m e s eː ]_w
[_w b i m a ]_w
[_w t̪ u n a ]_w
[_w tʃ iː ʋ i ]_w
[_w ɡ e ɖ i ]_w
[_w t̪ e j a ]_w
[_w ʋ e s ]_w
[_w k o ʈ a ]_w
[_w p a j i ]_w
[_w t̪ i p u ]_w
[_w n a ʋ a ]_w
[_w s a d̪ u ]_w
[_w t̪ aː r aː ]_w
[_w d̪ u ɖ u ]_w
[_w h e j a ]_w
[_w a m a d̪ ]_w
[_w ɡ a d̪ aː ]_w
[_w s e n ]_w
[_w m u t̪ aː ]_w
[_w ʋ a nː eː ]_w
[_w p aː k a ]_w
[_w m a ʈ a ]_w
[_w j u t̪ u ]_w
[_w l a b aː ]_w
[_w ʋ a n a ]_w
[_w n æ t̪ː a ]_w
[_w t̪ u ʈ u ]_w
[_w ʋ a n u ]_w
[_w h a ʈ a ]_w
[_w m a d̪ u ]_w
[_w n o ʋ u ]_w
[_w j oː b ]_w
[_w ʋ u n i ]_w
[_w b æ t̪ i ]_w
[_w ʋ æ n i ]_w
[_w k i s i ]_w
[_w t̪ æ ʋ a ]_w
[_w m e j a ]_w
[_w n i s i ]_w
[_w d̪ u ʋ a ]_w
[_w a n d̪ a ]_w
[_w t̪ a ᵐb a ]_w
[_w n æ t̪ i ]_w
[_w j aː n a ]_w
[_w k æ b a ]_w
[_w m o h u ]_w
[_w l æ b eː ]_w
[_w ɡ a l ]_w
[_w d̪ i sː a ]_w
[_w b i r i ]_w
[_w n i m a ]_w
[_w b æ r i ]_w
[_w h u n u ]_w
[_w l a t̪ i ]_w
[_w d̪ iː m eː ]_w
[_w j o t̪ aː ]_w
[_w d̪ iː m a ]_w
[_w m u l a ]_w
[_w a k ʃ i ]_w
[_w l oː k a ]_w
[_w p i ɖ a ]_w
[_w ʋ e d̪ a ]_w
[_w u r u m ]_w
[_w k e n a ]_w
[_w æ n a ]_w
[_w d̪ i ɡ a ]_w
[_w m a s a ]_w
[_w ʋ iː m ]_w
[_w b a r a ]_w
[_w n aː m a ]_w
[_w n æ k iː ]_w
[_w k æ l æː ]_w
[_w h a t̪ a ]_w
[_w b i j a ]_w
[_w ʋ æ ʈ eː ]_w
[_w ʋ iː t̪ i ]_w
[_w m aː k eː ]_w
[_w j u d̪ ]_w
[_w ɡ a l a ]_w
[_w u d̪ a m ]_w
[_w d̪ æ k a ]_w
[_w m æ s i ]_w
[_w t̪ a r u ]_w
[_w h a d̪ a ]_w
[_w m i l a ]_w
[_w ɡ a m ]_w
[_w t̪ a m aː ]_w
[_w b a ɖ u ]_w
[_w d̪ oː r aː ]_w
[_w k a l f ]_w
[_w p o d̪ ]_w
[_w l a m aː ]_w
[_w d̪ u n iː ]_w
[_w s a t̪ i ]_w
[_w s æ p a ]_w
[_w p r a ]_w
[_w ʋ æ l i ]_w
[_w b i ɖ u ]_w
[_w h o t̪ ]_w
[_w ʋ aː d̪ a ]_w
[_w oː n eː ]_w
[_w u s a ]_w
[_w dʒ eː m s ]_w
[_w ʋ æ ɖ eː ]_w
[_w m a n a ]_w
[_w j oː ɡ a ]_w
[_w s aː d̪ a ]_w
[_w e h i ]_w
[_w ɡ aː j a ]_w
[_w k r æː m ]_w
[_w a ʃ ʋ a ]_w
[_w j a ʈ i ]_w
[_w p u t̪ ]_w
[_w k i n i ]_w
[_w k a n iː ]_w
[_w ʋ e l aː ]_w
[_w k aː oː ]_w
[_w ʋ aː j u ]_w
[_w p uː dʒ aː ]_w
[_w s aː m a ]_w
[_w k u r u ]_w
[_w a b a ]_w
[_w k aː j a ]_w
[_w k a r aː ]_w
[_w ʃ aː ɡ a ]_w
[_w ʋ a ɡ a ]_w
[_w b iː dʒ a ]_w
[_w t̪ e j i ]_w
[_w l a ɡ ]_w
[_w p a d̪ u ]_w
[_w d̪ i k a ]_w
[_w b aː p ]_w
[_w ɡ i h i ]_w
[_w p i n i ]_w
[_w b i t̪ a ]_w
[_w tʃ ai ʋ a ]_w
[_w ʋ a r u ]_w
[_w a ʈ a k ]_w
[_w k e r eː ]_w
[_w a s t̪ i ]_w
[_w a p i ]_w
[_w s i d̪ː a ]_w
[_w o sː eː ]_w
[_w r oː d̪ a ]_w
[_w p oː l ]_w
[_w j æː m a ]_w
[_w i d̪ aː ]_w
[_w l a d̪ i ]_w
[_w r a ʈ aː ]_w
[_w t̪ u nː eː ]_w
[_w m iː ɖ a ]_w
[_w ʃ i ʋ a ]_w
[_w r e d̪ i ]_w
[_w ɡ i r i ]_w
[_w æ n ɖ ]_w
[_w n a d̪ u ]_w
[_w m uː l a ]_w
[_w p iː dʒ a ]_w
[_w ɡ aː n ]_w
[_w b oː t̪ i ]_w
[_w p a d̪ː a ]_w
[_w l a t̪ iː ]_w
[_w s a ɖ a ]_w
[_w k a d̪ aː ]_w
[_w k r i ]_w
[_w æ ⁿd̪ a ]_w
[_w ɡ u r ]_w
[_w b aː d̪ a ]_w
[_w o j aː d̪ ]_w
[_w s æ b æː ]_w
[_w e d̪ æ n ]_w
[_w t̪ i r i ]_w
[_w k aː n ]_w
[_w j o d̪ aː ]_w
[_w s i ʋ ]_w
[_w d̪ u n i ]_w
[_w e lː aː ]_w
[_w s a mː aː ]_w
[_w k a nː aː ]_w
[_w b aː ʋ a ]_w
[_w b i m ]_w
[_w d̪ e t̪ ]_w
[_w l aː b a ]_w
[_w s u nː i ]_w
[_w n a m ]_w
[_w h i d̪ a ]_w
[_w m u l ]_w
[_w s a ʋ a ]_w
[_w ʋ aː s a ]_w
[_w p a ɖ a ]_w
[_w e k iː ]_w
[_w a t̪ u ]_w
[_w r e t̪ i ]_w
[_w s aː j a ]_w
[_w æ d̪ i ]_w
[_w æː t̪ a ]_w
[_w u ʈ i n ]_w
[_w oː n e ]_w
[_w s æ b a ]_w
[_w ʋ æ j a ]_w
[_w n a t̪ u ]_w
[_w t̪ a ʈ a ]_w
[_w j a j i ]_w
[_w s i r a ]_w
[_w a ʈ u ]_w
[_w k d̪ a ]_w
[_w b a ʈ u ]_w
[_w p æ s a ]_w
[_w dʒ ai n a ]_w
[_w b a t̪ ]_w
[_w d̪ i r i ]_w
[_w o j aː t̪ ]_w
[_w tʃ i d̪ː a ]_w
[_w t̪ o r a ]_w
[_w ʋ e ɖ i ]_w
[_w a d̪ j a ]_w
[_w ʋ aː k ]_w
[_w e j a ]_w
[_w s æ n ]_w
[_w l æ p u ]_w
[_w ʋ a ɡ aː ]_w
[_w b oː l ]_w
[_w d̪ eː r iː ]_w
[_w ɖ i ɡ a ]_w
[_w l a ʋ aː ]_w
[_w d̪ æ r uː ]_w
[_w ʋ u n a ]_w
[_w d̪ u ʈ u ]_w
[_w r eː k aː ]_w
[_w r oː s a ]_w
[_w m u t̪ ]_w
[_w ɡ u r u ]_w
[_w s a l ]_w
[_w ɡ oː p i ]_w
[_w b uː m i ]_w
[_w ʃ a d̪ a ]_w
[_w m a n u ]_w
[_w p e n eː ]_w
[_w p aː ʋ a ]_w
[_w ʋ i n i ]_w
[_w t̪ æ k a ]_w
[_w j u d̪ː eː ]_w
[_w b a h u ]_w
[_w d̪ a ᵐb a ]_w
[_w b æ n a ]_w
[_w o j aː ]_w
[_w p e t̪ aː ]_w
[_w d̪ u m ]_w
[_w ɡ r i ]_w
[_w a ʋ a k ]_w
[_w d̪ iː r u ]_w
[_w p e d̪ aː ]_w
[_w n a t̪ a ]_w
[_w k æ b iː ]_w
[_w b a ʃ u ]_w
[_w m a l ]_w
[_w k a ʋ i ]_w
[_w t̪ æ ɖ i ]_w
[_w u p a d̪ ]_w
[_w a j a ɡ ]_w
[_w ʋ i t̪ eː ]_w
[_w j u t̪ː a ]_w
[_w n o ʋ uː ]_w
[_w a m a t̪ ]_w
[_w a ⁿd̪ a ]_w
[_w ʋ a s aː ]_w
[_w s aː t̪ a ]_w
[_w n æ h æ ]_w
[_w k o l a ]_w
[_w r oː ɡ iː ]_w
[_w s ai l a ]_w
[_w k i j eː ]_w
