[_w m p ɘ ]_w
[_w ɛ l ɘː ɲ ]_w
[_w b ɪ j ɔ ]_w
[_w ɘ ɟ ɘ w ]_w
[_w k ɘː n ɛ ]_w
[_w aː m a ɡ ]_w
[_w ʊ l ɘ k ]_w
[_w s ɪ t ɘ ]_w
[_w e j u ]_w
[_w u b u r ]_w
[_w a l i ŋ ]_w
[_w k oː m i ]_w
[_w k ɘː n ]_w
[_w b ɘ c ɘ ]_w
[_w i r iː ŋ ]_w
[_w ɘ p ɘː l ]_w
[_w s ɔː l ɘ ]_w
[_w f ʊː ɲ ]_w
[_w ɛ l ʊ b ]_w
[_w k a l i ]_w
[_w t u k ]_w
[_w ɘ s ɪ ɘ ]_w
[_w ɛ c ɛː ŋ ]_w
[_w ʊ b ɘ ]_w
[_w n ɘ mː ɪ ]_w
[_w c ɘ ɟ ]_w
[_w ɘ b ɘ ɟ ]_w
[_w ɘː n ɔ m ]_w
[_w p ɘ k ]_w
[_w a k o n ]_w
[_w ɘ r ɔ k ]_w
[_w ʊ s ɪː n ]_w
[_w ʊ j ɘ b ]_w
[_w ɛ s ɛ n ]_w
[_w ɪ m ɘ ŋ ]_w
[_w ɛ t ɛ n ]_w
[_w m ɘ k ɘ ]_w
[_w ɘ k ɘː n ]_w
[_w u ɟ i m ]_w
[_w b ɛː r ɪ ]_w
[_w t i c ]_w
[_w c ɘ k ɛ ]_w
[_w ɘ c ɪ n ]_w
[_w j e m ]_w
[_w t ɛ b ]_w
[_w ɛː t ʊ t ]_w
[_w ɪ b ɘ ɟ ]_w
[_w aː m a k ]_w
[_w w oː j ]_w
[_w j ʊː t ɪ ]_w
[_w ɟ ɪː k ɪ ]_w
[_w ɘ m b ɘ ]_w
[_w ɘ b ɪ ɘ ]_w
[_w ɡ ɘː n ɔ ]_w
[_w ɟ ɔː m ]_w
[_w w ɔː w ɛ ]_w
[_w n ɘː k ɛ ]_w
[_w ɛ l ɘ k ]_w
[_w b u l a ]_w
[_w n ɘ f ɘ ]_w
[_w w ɘ ɲ ɘ ]_w
[_w ɘ b ɔ ɲ ]_w
[_w ɛ ɡ ɘ d ]_w
[_w p ɘ ɟ ]_w
[_w t ɪ r ]_w
[_w f ɘ ɟ ]_w
[_w ɛː n ʊ t ]_w
[_w s ɘ l ɪ ]_w
[_w ʊ l ɔ ɘ ]_w
[_w ɘ ɟ ɪ k ]_w
[_w ʊ n ɛ ]_w
[_w ɘː n ɛ ]_w
[_w ɟ ɔː l ɘ ]_w
[_w t ɪ m ɘː ]_w
[_w k a w ]_w
[_w ɘ p ʊː n ]_w
[_w r oː m a ]_w
[_w ɘ ɟ ɛ t ]_w
[_w a j i ]_w
[_w n ɔː t ɛ ]_w
[_w ʊ w ɛ ]_w
[_w ɛ l ɘ w ]_w
[_w k ʊ m ɔ ]_w
[_w j ɘ n ]_w
[_w e j iː s ]_w
[_w f ɘ t ɪ ]_w
[_w e r iː ŋ ]_w
[_w ɘ f ɘː n ]_w
[_w b ɘ n ɔ ]_w
[_w w ɘ ɲ ]_w
[_w k ɘ mː ɪ ]_w
[_w ʊ ɟ ʊ ɡ ]_w
[_w s ɘ n ]_w
[_w w ɛ ɪ ]_w
[_w ɘ c ɘ w ]_w
[_w k a l a ]_w
[_w ɡ ɘ r ɛ ]_w
[_w ɛ ŋ ɘ r ]_w
[_w ɟ ɘ r ɪ ]_w
[_w f ɪː t ]_w
[_w ɟ ɛ p ɪ ]_w
[_w k ɪ l ɘ ]_w
[_w j ɔ k ]_w
[_w w ɘ ʊ ]_w
[_w ɔː m ɛ ]_w
[_w p ɘ ɟ ɘ ]_w
[_w ɘ l ɘː ɲ ]_w
[_w ʊ r ɔ k ]_w
[_w n ɘ l ɔ ]_w
[_w ɘ ŋ ɘ r ]_w
[_w t ɘː ɟ ]_w
[_w p ɪ l ]_w
[_w n ɘ t ɪ ]_w
[_w m ɔ f ]_w
[_w ɪ ɟ ɛ t ]_w
[_w e k o t ]_w
[_w b u l ]_w
[_w n ɔː n ɛ ]_w
[_w ɛ k ɘː n ]_w
[_w ɛ r ɔ ŋ ]_w
[_w ɛ c ɘː j ]_w
[_w ɘ t ɛ j ]_w
[_w ɘ m ɘ ŋ ]_w
[_w ʊ m ɛ ]_w
[_w ɘ w ɘ r ]_w
[_w ɘ ɲ ɔː l ]_w
[_w s ɪ k ɘ ]_w
[_w ɘ t ɪ ɪ ]_w
[_w ʊ k ɘ b ]_w
[_w ɪ l ɛ t ]_w
[_w ʊ b ɛ ]_w
[_w ʊ w ʊ ]_w
[_w b ɘ ɟ ɘ ]_w
[_w ɛ r ʊ m ]_w
[_w a ɡ o n ]_w
[_w ɟ ɔː l ɪ ]_w
[_w ʊ m ʊ ]_w
[_w b u m b ]_w
[_w ɟ ɪː k ]_w
[_w ɛ t ɛ j ]_w
[_w ɪ k ɘː n ]_w
[_w e b aː r ]_w
[_w f ɪː l ]_w
[_w ɛ r ɪ k ]_w
[_w e ɡ uː t ]_w
[_w b ɔ mː ɪ ]_w
[_w f a k ]_w
[_w i n ɟ e ]_w
[_w s u m ]_w
[_w ʊ r ɘː n ]_w
[_w b ɪ l ]_w
[_w f ɘː n ɔ ]_w
[_w ɘ l ɘ k ]_w
[_w ʊ k ɔ r ]_w
[_w ɘ ɲ ɔː s ]_w
[_w k u j i ]_w
[_w m ɔː l ɪ ]_w
[_w ɘ n s ɪ ]_w
[_w ɛ m ɘ ŋ ]_w
[_w ɛ b ɔ r ]_w
[_w ɛ n ʊ k ]_w
[_w a p u r ]_w
[_w n ɛ l ]_w
[_w ɘː k ɛ n ]_w
[_w w ɘː w ʊ ]_w
[_w h ɘ n ɪ ]_w
[_w s uː m ]_w
[_w ʊ l ɔ ]_w
[_w ɔ ɔ m ʊ ]_w
[_w ɛ n ɔː m ]_w
[_w ɘ s ɔ f ]_w
[_w k ʊ l ɛː ]_w
[_w e t i b ]_w
[_w t ɘ n ]_w
[_w k ɔː k ɛ ]_w
[_w ʊ k ɛ ]_w
[_w ɟ ɪ r ɪ ]_w
[_w ɛ p ɘ c ]_w
[_w ɪ f ɘ ŋ ]_w
[_w ɛ b ɘ ɟ ]_w
[_w b ɘ r ɛ ]_w
[_w w u l i ]_w
[_w f uː r ]_w
[_w ɛ r ɪː b ]_w
[_w h ɘː n ɪ ]_w
[_w ɪ ɟ ʊ ɡ ]_w
[_w u k a m ]_w
[_w ɘ nː ɘ s ]_w
[_w ɛ b e ]_w
[_w p ɘː b ʊ ]_w
[_w ʊ w ɔ s ]_w
[_w ɘ b ʊ ɟ ]_w
[_w ɛ f ɘ ŋ ]_w
[_w ɛ m ɪ t ]_w
[_w l i ŋ ]_w
[_w ɛ m ɛː ŋ ]_w
[_w k ɘ n ɛ ]_w
[_w ɪ p ɘ ɟ ]_w
[_w w ɘ n ]_w
[_w j ɛ ɔː l ]_w
[_w t ɘː t ɛ ]_w
[_w w o l i ]_w
[_w t oː r o ]_w
[_w ɛ n ɔ k ]_w
[_w ʊ ɟ ɘ w ]_w
[_w b ʊ l ɛ ]_w
[_w m ɘ d ɪ ]_w
[_w ʊ b ɘ n ]_w
[_w k ɘ r ɛ ]_w
[_w ɛː n ɔ ]_w
[_w ɘ n ɘ n ]_w
[_w k ɪ t ɪ ]_w
[_w j ɘ ɟ ]_w
[_w e c i m ]_w
[_w ʊ ŋ ɘ r ]_w
[_w ɟ i l i ]_w
[_w ʊ t ʊ m ]_w
[_w f ɘ ŋ ]_w
[_w t ɛ p ]_w
[_w m ʊ r ɪ ]_w
[_w ɔː m ɘ ]_w
[_w b ɛ ɪ ]_w
[_w s ɘ d ɘː ]_w
[_w b ɛ t ɛ ]_w
[_w m ɔː l ɘ ]_w
[_w w ɔː l ɪ ]_w
[_w ɪ l ɛː ]_w
[_w t ɘ b ]_w
[_w s ɘː s ʊ ]_w
[_w ɘ k ɘ t ]_w
[_w t aː ɲ i ]_w
[_w k ʊ l ɔ ]_w
[_w k ɘ t ɪ ]_w
[_w w ɘ r ]_w
[_w n ɘ ɲ ]_w
[_w ʊ c ɘ w ]_w
[_w k ɘː m ]_w
[_w m ɘ t ɪ ]_w
[_w ɘ ɲ ɛ s ]_w
[_w ʊ b ɘ k ]_w
[_w ɘ ɟ ɔː n ]_w
[_w ɪ l ɛ d ]_w
[_w b ɘ ɡ ]_w
[_w n ɛ mː ɪ ]_w
[_w ɪ r ɛ ɡ ]_w
[_w s ɪ m ɔ ]_w
[_w e k o d ]_w
[_w f ɔː m ]_w
[_w k ʊ l ɪ ]_w
[_w m ɛː ɟ ]_w
[_w e b u r ]_w
[_w ʊ k ɘ ɟ ]_w
[_w n ɘː m ]_w
[_w e ɡ o t ]_w
[_w a j iː s ]_w
[_w ɪ l ɘ w ]_w
[_w e p u k ]_w
[_w ʊ r ɔ ɡ ]_w
[_w b ɘ ʊ l ]_w
[_w ɛ c ɛː n ]_w
[_w a k uː ]_w
[_w ʊ ɟ ʊ k ]_w
[_w k ɘ ɪ n ]_w
[_w l ɔ f ]_w
[_w d ʊ r ʊ ]_w
[_w f ɘː t ɛ ]_w
[_w s ɔ mː ɪ ]_w
[_w ɔ mː ɪ ]_w
[_w w ɘ t ɪ ]_w
[_w k ʊ n k ]_w
[_w ɟ a j i ]_w
[_w ɛ r ɛ k ]_w
[_w k u k uː ]_w
[_w w ɔː t ɛ ]_w
[_w u j iː k ]_w
[_w b ɘː b ʊ ]_w
[_w p ɘ l ɛː ]_w
[_w ɘ b ɘː t ]_w
[_w w ɔ l ɘ ]_w
[_w ɘ ɲ ɪː l ]_w
[_w ɛ b ɔ ɲ ]_w
[_w ɘː n ʊː l ]_w
[_w ɪ ɟ ɘ w ]_w
[_w m ɘː n ]_w
[_w n ɘ n ɛ ]_w
[_w k ʊ c ɛː ]_w
[_w ɟ ɘ t ɪ ]_w
[_w ɘ s ɛː k ]_w
[_w j ɘ t ɪ ]_w
[_w b u r ]_w
[_w f ʊ k ]_w
[_w k ɔː m ]_w
[_w m b uː r ]_w
[_w ɪ r ɪ ]_w
[_w m ʊ l ɛː ]_w
[_w a b u t ]_w
[_w f ɔː n ɛ ]_w
[_w t ɛː s ]_w
[_w a r iː ŋ ]_w
[_w d ɛ b ]_w
[_w l ɘː ɲ ]_w
[_w ɘ f ɘ s ]_w
[_w ɘ ɪ m ɘ ]_w
[_w b ɘ t ɪ ]_w
[_w k u m a ]_w
[_w ɔː l ʊː l ]_w
[_w b ɪː j ɘ ]_w
[_w m p ɘː ]_w
[_w b ɘ t ]_w
[_w n ɛ n ]_w
[_w ɛ n ɘ k ]_w
[_w ɛ ɟ ʊ ɡ ]_w
[_w ʊ r ɛ ]_w
[_w ɛ l ʊ k ]_w
[_w ɘ m ɪ n ]_w
[_w ʊ t ɘ n ]_w
[_w r ɘː r ʊ ]_w
[_w ɘ s ɘ l ]_w
[_w ɟ ɔː n ]_w
[_w k ɘ mː ɔ ]_w
[_w t u ɡ ]_w
[_w b ʊ l ɔ ]_w
[_w ɛ f ɛ l ]_w
[_w b ʊ k ɛ ]_w
[_w ʊ l ɛ t ]_w
[_w p i m ]_w
[_w ɘː t ʊ m ]_w
[_w ɡ ʊ b ɘ ]_w
[_w k ɔː l ɘ ]_w
[_w w ɘː t ɪ ]_w
[_w m ɘ t ɘ ]_w
[_w u ɡ u n ]_w
[_w ɛ j ɘ b ]_w
[_w ʊ l ɘː k ]_w
[_w e ɟ i m ]_w
[_w ɘ ɟ ʊ k ]_w
[_w k ɛ p ]_w
[_w ɘ b ʊː n ]_w
[_w ʊ r ʊ ŋ ]_w
[_w ɛ b ʊ c ]_w
[_w ɔː m ʊ ]_w
[_w ɪ n ɡ ɪ ]_w
[_w k ɘ t ɘ ]_w
[_w m b ɪ ]_w
[_w ɪ h ɪ ]_w
[_w s ɘ ʊ l ]_w
[_w m ɘ n ]_w
[_w m ɘː t ɛ ]_w
[_w ɘː n ɛ j ]_w
[_w w ɔː n ɪ ]_w
[_w j ɔː n ɛ ]_w
[_w ɘ j ɘ b ]_w
[_w n ɘː t ɛ ]_w
[_w b ɘː b ɛ ]_w
[_w ɪ s r ɘ ]_w
[_w j ɪ t ɔ ]_w
[_w ɘ ɟ ɪː k ]_w
[_w ɛ ɲ ɘ b ]_w
[_w r ɔː r ʊ ]_w
[_w ɛ t ɛ b ]_w
[_w m p ɪ ]_w
[_w j ɔː l ɘ ]_w
[_w w ɘː t ɛ ]_w
[_w ɘ b ɔː j ]_w
[_w f ɘ l ]_w
[_w e l iː l ]_w
[_w ɪ b ɪ l ]_w
[_w k ɘː n ɔ ]_w
[_w k ɔ m ɪ ]_w
[_w ɛ r ɔ k ]_w
[_w ɟ ɔː ɟ ʊ ]_w
[_w b ɔː k ɛ ]_w
[_w ɪ b ɘ k ]_w
[_w p ɛ t ]_w
[_w ɘ k ɘ m ]_w
[_w ʊ b ɘ c ]_w
[_w ɪ ɟ ʊ k ]_w
[_w p ʊ l ɛː ]_w
[_w ʊ s ɛ ]_w
[_w w u p ]_w
[_w ɘ l ɛː ]_w
[_w e p u r ]_w
[_w ɘ t ɘ ɪ ]_w
[_w ɘ p ɪ l ]_w
[_w k ɘ d ɪ ]_w
[_w n ɛ ɪ ]_w
[_w j ɔː t ɛ ]_w
[_w ʊ r ɪ ]_w
[_w n ɘ n ]_w
[_w k ɘ n ɘ ]_w
[_w s ɔː n ɛ ]_w
[_w ɛ w ʊː ɟ ]_w
[_w ŋ ɘ r ]_w
[_w b ɘ l ɛː ]_w
[_w m ɘ ŋ ɛ ]_w
[_w j ɔː j ʊ ]_w
[_w n aː t i ]_w
[_w k ɔ b ]_w
[_w j ɘ mː ɪ ]_w
[_w w u ɡ ]_w
[_w ʊ r ʊ ]_w
[_w ɘ p ɘ c ]_w
[_w ɟ ʊː p ]_w
[_w ɘ n d ɪ ]_w
[_w j u t a ]_w
[_w t i e n ]_w
[_w ɛ t ɘ m ]_w
[_w ʊ f ɘ ŋ ]_w
[_w j u d a ]_w
[_w u ɡ uː t ]_w
[_w ɛ k ɔ b ]_w
[_w ɪ b ɘ n ]_w
[_w ɔː l ɪː l ]_w
[_w ɛ ɡ ɔ b ]_w
[_w j ɛ m ]_w
[_w c ɔː t ɛ ]_w
[_w b ʊ ɟ ɪ ]_w
[_w b ɔː t ɛ ]_w
[_w d ɘː t ɛ ]_w
[_w a p u t ]_w
[_w ɘ b ɘ c ]_w
[_w t i d i ]_w
[_w w ɘ c ]_w
[_w e r i m ]_w
[_w ʊ s ɘ ]_w
[_w ɘ l ɔː k ]_w
[_w b ɔː b ]_w
[_w u m i k ]_w
[_w ɘ b ɘ k ]_w
[_w d ɘ ɟ ]_w
[_w ɛ p ɔ r ]_w
[_w ɛ p ɔː j ]_w
[_w ɟ ɘ mː ɪ ]_w
[_w n ɔː m ]_w
[_w b ʊ k ʊ ]_w
[_w u ɡ a m ]_w
[_w l o i ]_w
[_w ɛ c ɘ w ]_w
[_w p u l ]_w
[_w ʊ r ɛ ɡ ]_w
[_w m ɘ mː ɪ ]_w
[_w b ɘ ɟ ]_w
[_w ɟ ɛ t ɛ ]_w
[_w ɘ l ɔ f ]_w
[_w ɛ ɟ ɛ t ]_w
[_w ɪ n s ɪ ]_w
[_w p ɔː k ɛ ]_w
[_w b ɘ k ]_w
[_w m ɘː b ɪ ]_w
[_w k ɘ p ɘ ]_w
[_w ʊ s ɛ n ]_w
[_w l o i e ]_w
[_w ʊ s ɘ l ]_w
[_w ɛ l ɘ t ]_w
[_w j ɔː m ]_w
[_w ɛ p ʊ ɟ ]_w
[_w p ɘ n ]_w
[_w e b u ɡ ]_w
[_w ɛ s ɘ l ]_w
[_w ɛ w ɔ l ]_w
[_w ɘ t ɛ n ]_w
[_w k u l o ]_w
[_w s ɔː t ɛ ]_w
[_w ɘ ɟ ɪ n ]_w
[_w p ʊ k ɔː ]_w
[_w ɘ ɟ ɘ m ]_w
[_w j ɔ ɡ ]_w
[_w k ɔ mː ɪ ]_w
[_w u p aː r ]_w
[_w l ɛ w ɪ ]_w
[_w u t i b ]_w
[_w k ɔː t ɛ ]_w
[_w k o r o ]_w
[_w ɪ ɟ ɪː k ]_w
[_w u c i m ]_w
[_w u m i ɡ ]_w
[_w ɛː n ɔ m ]_w
[_w ɔː t ɛ ]_w
[_w p ɔː b ]_w
[_w ɛ j ɔː m ]_w
[_w m ɔː t ɛ ]_w
[_w ɛ n ɘ ɡ ]_w
[_w l ɪ t ]_w
[_w ɪ k ɘ d ]_w
[_w ɘ l ɘ t ]_w
[_w ɟ ɔ ɟ ]_w
[_w ɔː m ɛ ɪ ]_w
[_w u k u n ]_w
[_w j ɔ mː ɪ ]_w
[_w ɘ c ɛː n ]_w
[_w ɛ l ɪː k ]_w
[_w p o r o ]_w
[_w s ɔː t ]_w
[_w a ɟ i m ]_w
[_w b ɪː ŋ ]_w
[_w e s u k ]_w
[_w ʊ f ɪː t ]_w
[_w w ɘ f ]_w
[_w ɛ m ɛ r ]_w
[_w d ɛ m ]_w
[_w p ɪ b ɪ ]_w
[_w ɛ b ɪ l ]_w
[_w ɟ ɘː t ]_w
[_w ɪ r ɘː n ]_w
[_w s ɔ f ]_w
[_w ɟ ʊː p ɔ ]_w
[_w r ɘ n ]_w
[_w ɛ b ɘ ɡ ]_w
[_w ɪ k ɘ t ]_w
[_w ɛ m ɪ d ]_w
[_w ɟ ɘ n ]_w
[_w b ɔː l ɘ ]_w
[_w k ɘ n ]_w
[_w ɪ ɟ ɛ ɛ ]_w
[_w c ɛ t ɛ ]_w
[_w ʊ ɟ ɛ ɛ ]_w
[_w d ɘ k ]_w
[_w ɘ ɡ ɘː n ]_w
[_w ɛː t ɛ ]_w
[_w s a n i ]_w
[_w f ɔ mː ɪ ]_w
[_w ɘ m ɘ t ]_w
[_w ɛ t ɔː ŋ ]_w
[_w w u k ]_w
[_w n ɘː n ɛ ]_w
[_w ʊ k ɘ n ]_w
[_w k ɘː k ʊ ]_w
[_w w ɘː f ɪ ]_w
[_w ʊ b ʊ ]_w
[_w t ɪ h ɪ ]_w
[_w ɛ ɡ ɘː n ]_w
[_w ɘ k ɔ b ]_w
[_w b ɔː p ]_w
[_w ɛ ɟ ɪː k ]_w
[_w d ɘ m b ]_w
[_w ɘ c ɘ k ]_w
[_w p ɛ t ɛ ]_w
[_w l a r ]_w
[_w ɡ ɔː m ]_w
[_w ɛ l ɛ t ]_w
[_w ɛ k ɔ l ]_w
[_w ɛ b ɘ n ]_w
[_w ɟ ɛ b ɪ ]_w
[_w d ɪ m ɘː ]_w
[_w j ɘ ŋ ]_w
[_w ɪ r ɛ k ]_w
[_w s ɪ ɔ n ]_w
[_w t u l u ]_w
[_w ɟ ɔː n ɛ ]_w
[_w t u ɟ ]_w
[_w r ɪ n ɔ ]_w
[_w b ɪ p ɪ ]_w
[_w t ɔː r ʊ ]_w
[_w ɟ ɘ k ɛ ]_w
[_w s ɪ l ɘ ]_w
[_w k ɔː k ʊ ]_w
[_w ɪ j ɘ b ]_w
[_w ɔː l ɘ ]_w
[_w f ɔː l ɪ ]_w
[_w ʊ k ɘː l ]_w
[_w a c i m ]_w
[_w s ɛ m ]_w
[_w b ɘ k ɛ ]_w
[_w k a f a ]_w
[_w ɘː m ʊ ]_w
[_w ɛ ɡ ɔ l ]_w
[_w w ɔː w ʊ ]_w
[_w k ɔ n ɡ ]_w
[_w w i l i ]_w
[_w ɛ m ɘː t ]_w
[_w p ɔː t ɛ ]_w
[_w t ʊ r ʊ ]_w
[_w ɛ ɟ ʊː m ]_w
[_w w ʊː ɟ ]_w
[_w k ɔː n ɪ ]_w
[_w ɘː n ɔ ]_w
[_w ɘː t ʊ t ]_w
[_w s ɘ t ɪ ]_w
[_w ʊ j ʊ ]_w
[_w n ɛː m ]_w
[_w ɲ ɘ ɟ ]_w
[_w ɛ b ɘ k ]_w
[_w ɘ t ɛː p ]_w
[_w ʊ k ɘ t ]_w
[_w l ʊ w ɘ ]_w
[_w f ɘ mː ɪ ]_w
[_w k ʊ p ɘ ]_w
[_w m ɔ mː ɪ ]_w
[_w n ɔː l ɘ ]_w
[_w s ɔː s ʊ ]_w
[_w ɛ f ɛ s ]_w
[_w s ɘ t ɘː ]_w
[_w ɛ l ʊː b ]_w
[_w p ʊ k ʊ ]_w
[_w d i t i ]_w
[_w w ɔ mː ɪ ]_w
[_w ʊ ɡ ɘ t ]_w
[_w ɛ ɟ ɘ w ]_w
[_w ʊ b ɘ ŋ ]_w
[_w w aː j ]_w
[_w s ɪ r ɘ ]_w
[_w b ʊ f ɔ ]_w
[_w ɟ ɛ b ]_w
[_w ɟ ɘ w ]_w
[_w ʊ p ɘ ]_w
[_w ɛ c ɛ t ]_w
[_w k ʊ n ɡ ]_w
[_w s ʊː s ɘ ]_w
[_w ɪ p ɘ c ]_w
[_w ɘː n ɔː l ]_w
[_w m o r o ]_w
[_w ɘ r ɘː n ]_w
[_w p ʊ ɟ ɘ ]_w
[_w ʊ r ɔ ŋ ]_w
[_w b u m p ]_w
[_w ɪ c ɪː k ]_w
[_w b ɪ n ]_w
[_w b iː n e ]_w
[_w k ɛ ɪ ]_w
[_w ɘː n ɪː l ]_w
[_w ɛ ɟ ɘ m ]_w
[_w ɛ p ɘ ɟ ]_w
[_w w ɔː m ]_w
[_w r ɘ t ]_w
[_w ʊ f ʊ ]_w
[_w n ɛː t ɛ ]_w
[_w ɘ r ʊ t ]_w
[_w ɘː n ɪ ]_w
[_w ɘ b ʊ c ]_w
[_w f ʊ r ɘ ]_w
[_w e b u k ]_w
[_w ʊ l ɘː ɡ ]_w
[_w ʊ n ɘ b ]_w
[_w ɘ p ɘ k ]_w
[_w p ɔː l ɪ ]_w
[_w ɛ n ɛ n ]_w
[_w t ɪː t ɔ ]_w
[_w ɘ l ɔ ]_w
[_w d aː ɲ i ]_w
[_w l ɪ d ]_w
[_w ɘ l ʊ k ]_w
[_w r ɛ ʊ t ]_w
[_w d ɪ r ]_w
[_w m ɔː m ʊ ]_w
[_w ɪ ɲ ɛ s ]_w
[_w l ʊ t ɘ ]_w
[_w m ɔː n ɪ ]_w
[_w ʊ l ɘː ɲ ]_w
[_w u k uː t ]_w
[_w p ɛ ɪ ]_w
[_w ɡ a l i ]_w
[_w ɛ b ɔː j ]_w
[_w j ɔ s ɛ ]_w
[_w b ʊ ɡ ɔ ]_w
[_w t ɘ m b ]_w
[_w ɛ k ɘː l ]_w
[_w ɡ ʊ d ɪ ]_w
[_w ɪ c ɛ d ]_w
[_w b i m ]_w
[_w m ɪː l ]_w
[_w ɘ t ɪ ]_w
[_w e l i ŋ ]_w
[_w b ɛ f ]_w
[_w c ɪ l ɘ ]_w
[_w e t i p ]_w
[_w ɘː ɡ ɛ n ]_w
[_w t ɘ t ɪ ]_w
[_w ʊ b ʊ ɟ ]_w
[_w b ɪ ɲ ɔː ]_w
[_w ɘ l ɘ d ]_w
[_w ɘ j ɘ p ]_w
[_w t ɘ m p ]_w
[_w b o r o ]_w
[_w ɘ w ʊː ɟ ]_w
[_w u r iː ŋ ]_w
[_w b ɛ t ]_w
[_w w ɪ c ]_w
[_w t ɘ k ]_w
[_w aː m i ]_w
[_w ɘ ɟ ʊː m ]_w
[_w ɘ t ɛː b ]_w
[_w w ɘː f ]_w
[_w ʊ p ɘ n ]_w
[_w ʊ k ʊ ]_w
[_w w u t ]_w
[_w ʊ j ɛ ]_w
[_w ɘ k ɘː l ]_w
[_w ʊ t ɛ ɡ ]_w
[_w k ɔ n k ]_w
[_w w ɛː r ]_w
[_w ɘ m p ɪ ]_w
[_w d ɘ m p ]_w
[_w ɘ b ʊ m ]_w
[_w ɘ b ɪ l ]_w
[_w b a m ]_w
[_w ɘ k ɛː n ]_w
[_w t o r o ]_w
[_w ɛ d ɘ m ]_w
[_w ɛ b ɪ n ]_w
[_w ɘ d ɪ ɪ ]_w
[_w s ɘ n k ]_w
[_w ʊ s ɔː r ]_w
[_w s ʊː t ]_w
[_w ɘ ɟ ɛ d ]_w
[_w ɘː n ɔ ɛ ]_w
[_w ɘ t ɘ ]_w
[_w ɘ m ɘ d ]_w
[_w w ɛ j ]_w
[_w r ɔː m ]_w
[_w p ɔː p ʊ ]_w
[_w ɘ w ʊ l ]_w
[_w ɔː l ɪ ]_w
[_w ɡ ʊ r ɪ ]_w
[_w t i n ]_w
[_w ɘ n ɘ ʊ ]_w
[_w p ɘː k ]_w
[_w k ɛ b ]_w
[_w ɟ ɔː n ɔ ]_w
[_w w ɪ ɟ ]_w
[_w u j iː s ]_w
[_w t a m i ]_w
[_w b oː t ]_w
[_w t a n ]_w
[_w ɛ mː ɪ ]_w
[_w ɛ ɟ ɪ n ]_w
[_w b ɘ c ɛ ]_w
[_w b ɘ l ]_w
[_w f ɘ ŋ ɛ ]_w
[_w b i b ]_w
[_w f ɔː t ɛ ]_w
