[_w m iː n ]_w
[_w l t̪ iː m ]_w
[_w v uː ʔ ]_w
[_w k uː n ]_w
[_w ɡ e lː u ]_w
[_w l aː d̪ a ]_w
[_w s a iː d̪ ]_w
[_w i b e l ]_w
[_w m a r d̪ ]_w
[_w f t̪ iː k ]_w
[_w p ɪː ʃ ]_w
[_w n a f ]_w
[_w a tʃː e sː ]_w
[_w i l m a ]_w
[_w s ħ a ħ ]_w
[_w t̪ ɪː e k ]_w
[_w l m l p ]_w
[_w s t̪ a t̪ ]_w
[_w r uː ħ i ]_w
[_w p o s t̪ ]_w
[_w p iː o m ]_w
[_w aː z l a ]_w
[_w aː n a ]_w
[_w w ɪː s aː ]_w
[_w ħ s ɪː b ]_w
[_w f a s i ]_w
[_w e r b aː ]_w
[_w b iː s ]_w
[_w ʔ a r i ]_w
[_w m e n t̪ ]_w
[_w t̪ eː r u ]_w
[_w t̪ ej ʃ ]_w
[_w ʃ e n a ]_w
[_w ɪː ħ o r ]_w
[_w j oː d̪ː ]_w
[_w i d̪ e a ]_w
[_w r uː u ]_w
[_w l p ɪː b ]_w
[_w m oː d̪ i ]_w
[_w ʃ s e ]_w
[_w l ɪː m a ]_w
[_w r w o l ]_w
[_w k r u pː ]_w
[_w ʃ t̪ a ʔ ]_w
[_w w e r a ]_w
[_w i t̪ː a r ]_w
[_w o p r a ]_w
[_w ʔ e t̪ ]_w
[_w t̪ ħ o sː ]_w
[_w j e r z ]_w
[_w b i r o ]_w
[_w aː l iː k ]_w
[_w a b e l ]_w
[_w t̪ uː s a ]_w
[_w f iː d̪ ]_w
[_w ew r o ]_w
[_w a n t̪ u ]_w
[_w f i t̪ː a ]_w
[_w m i nː u ]_w
[_w t̪ aː l ]_w
[_w ɪː b s a ]_w
[_w e fː e t̪ː ]_w
[_w i lː oː b ]_w
[_w l a ʔ aː ]_w
[_w t̪ i s t̪ ]_w
[_w v a s i ]_w
[_w l uː ʔ a ]_w
[_w t̪ a ʃː a ]_w
[_w ɡ o r t̪ ]_w
[_w f e j n ]_w
[_w m i nː aː ]_w
[_w d̪ a l b ]_w
[_w t̪ a lː i ]_w
[_w f uː ʔ ]_w
[_w aː d̪ n a ]_w
[_w n e t̪ ]_w
[_w j dʒ iː b ]_w
[_w t̪ a t̪ a ]_w
[_w dʒ w a nː ]_w
[_w l j e t̪ː ]_w
[_w t̪ː uː r ]_w
[_w ʔ aː d̪ ]_w
[_w f i t̪ i ]_w
[_w j ej ʃ u ]_w
[_w t̪ a s ]_w
[_w u l ɪː d̪ ]_w
[_w i lː i ]_w
[_w i t̪ː e mː ]_w
[_w z d̪ r u ]_w
[_w ʔ r aj t̪ ]_w
[_w s iː d̪ ]_w
[_w ħ a lː ew ]_w
[_w n a r a ]_w
[_w i ʔ iː z ]_w
[_w z a mː ew ]_w
[_w ɡ r ɪː ɡ ]_w
[_w f i d̪ː a ]_w
[_w m i lː i ]_w
[_w n k iː d̪ ]_w
[_w f o r s ]_w
[_w s k o r ]_w
[_w b r iː m ]_w
[_w l aː b u ]_w
[_w m o n s ]_w
[_w w i tʃː ]_w
[_w aː lː a ]_w
[_w k e z u ]_w
[_w z m ɪː n ]_w
[_w ɡ iː f ]_w
[_w ʃ i t̪ a ]_w
[_w p i n i ]_w
[_w ʔ i s u ]_w
[_w r e k a ]_w
[_w i s iː b ]_w
[_w i k uː n ]_w
[_w k o r ɡ ]_w
[_w s a n t̪ ]_w
[_w m i nː a ]_w
[_w oː r a ]_w
[_w n o t̪ a ]_w
[_w iː j a ]_w
[_w s iː r ]_w
[_w t̪ː a r ]_w
[_w m eː mː ʃ ]_w
[_w m ɪː n ]_w
[_w l aː t̪ a ]_w
[_w b r e tsː ]_w
[_w m iː l ]_w
[_w k ɪː n ʃ ]_w
[_w a n ɡ i ]_w
[_w s k uː r ]_w
[_w s a l m ]_w
[_w l uː z u ]_w
[_w d̪ i s a ]_w
[_w r uː i ]_w
[_w w a ʔ a ]_w
[_w dʒ e jː a ]_w
[_w p n ɪː t̪ ]_w
[_w t̪ i b d̪ ]_w
[_w t̪ ʔ uː m ]_w
[_w s f a t̪ ]_w
[_w t̪ ej d̪ ]_w
[_w ː b ɪː b ]_w
[_w o mː aː ]_w
[_w j oː n ]_w
[_w k a ts ]_w
[_w f l o k ]_w
[_w s t̪ aj t̪ ]_w
[_w s ew dʒ ]_w
[_w j ej d̪ ]_w
[_w l aː j n ]_w
[_w v e r ħ ]_w
[_w ʃː ew ʔ a ]_w
[_w aw t̪ uː r ]_w
[_w p o r d̪ ]_w
[_w f i l m ]_w
[_w p i r o ]_w
[_w b ɪː rː e ]_w
[_w ɡ o lː aː ]_w
[_w aː nː ɪː s ]_w
[_w ʃ aː r ]_w
[_w ʃː e m ʃ ]_w
[_w s e t̪ː ]_w
[_w i m i sː ]_w
[_w t̪ ɪː ħ u ]_w
[_w i l ʔ a ]_w
[_w ɡ a ts ]_w
[_w k ɪː n ]_w
[_w f iː a ]_w
[_w b a r i ]_w
[_w n e t̪ː ]_w
[_w f d̪ a n ]_w
[_w j e ɡː ]_w
[_w d̪ a n a ]_w
[_w e z d̪ i ]_w
[_w f ħ a l ]_w
[_w j ɪː m ]_w
[_w ħ a d̪ i ]_w
[_w k o r t̪ ]_w
[_w f uː ʔ u ]_w
[_w dʒ d̪ iː d̪ ]_w
[_w m i d̪ː ]_w
[_w ħ uː t̪ u ]_w
[_w i ʃː aː r ]_w
[_w s ew t̪ a ]_w
[_w m a t̪ː ew ]_w
[_w i t̪ː iː m ]_w
[_w mː e ʃː i ]_w
[_w f d̪ iː k ]_w
[_w i l iː n ]_w
[_w f d̪ a k ]_w
[_w n aː t̪ u ]_w
[_w w a r a ]_w
[_w n a f u ]_w
[_w j i tʃ i ]_w
[_w s a n d̪ ]_w
[_w t̪ iː n ]_w
[_w p eː kː ]_w
[_w ː s ɪː b ]_w
[_w s a r ]_w
[_w d̪ w a r ]_w
[_w r e ɡ a ]_w
[_w d̪ a n t̪ ]_w
[_w n ej ʃ u ]_w
[_w r e a l ]_w
[_w i d̪ uː r ]_w
[_w dʒ ɪː t̪ ]_w
[_w m o d̪ i ]_w
[_w uː m a ]_w
[_w u tʃ iː ħ ]_w
[_w s b ɪː ħ ]_w
[_w i t̪ o ʔː ]_w
[_w k e j t̪ ]_w
[_w t̪ ħ uː l ]_w
[_w k aw z a ]_w
[_w z a n t̪ ]_w
[_w f d̪ iː n ]_w
[_w f r o t̪ː ]_w
[_w i r iː t̪ ]_w
[_w p iː l ]_w
[_w ħ a dʒ a ]_w
[_w nː ɪː s ]_w
[_w l e d̪ a ]_w
[_w d̪ r i t̪ː ]_w
[_w r a s ]_w
[_w ʔ a m ]_w
[_w l i r i ]_w
[_w zː ew dʒ ]_w
[_w k o lː aː ]_w
[_w ʔ eː d̪ a ]_w
[_w u z a t̪ ]_w
[_w t̪ a r ]_w
[_w l oː b ]_w
[_w w ɪː d̪ ]_w
[_w r aw n t̪ ]_w
[_w b oj o d̪ ]_w
[_w p i d̪ u ]_w
[_w b ɪː ʃ ]_w
[_w l dʒ iː d̪ ]_w
[_w aː m e l ]_w
[_w ħ j ɪː l ]_w
[_w ʃ oː l ]_w
[_w i mː a ]_w
[_w l i tʃ i ]_w
[_w w aː t̪ a ]_w
[_w j s o mː ]_w
[_w b d̪ m ]_w
[_w r o bː ɪː ]_w
[_w n ej d̪ ]_w
[_w l uː t̪ i ]_w
[_w nː i s a ]_w
[_w ts ɡ uː r ]_w
[_w t̪ ɪː ɡ uː ]_w
[_w a n t̪ ]_w
[_w t̪ a r i ]_w
[_w m i lː ]_w
[_w ʔ ɪː e t̪ ]_w
[_w b o s t̪ ]_w
[_w t̪ r iː d̪ ]_w
[_w m uː ʃ ]_w
[_w d̪ a ʔ s ]_w
[_w t̪ o nː aː ]_w
[_w l i l aː ]_w
[_w d̪ː ɪː e t̪ ]_w
[_w f l uː z ]_w
[_w j a ʔ ow ]_w
[_w t̪ ɪː ow ]_w
[_w k ɪː ɡ u ]_w
[_w f e r u ]_w
[_w oː r aj n ]_w
[_w m ɪː ʃ i ]_w
[_w d̪ m uː r ]_w
[_w r a tsː a ]_w
[_w d̪ː ɪː e d̪ ]_w
[_w j aː t̪ː i ]_w
[_w s o t̪ ]_w
[_w d̪ i s t̪ ]_w
[_w f iː o m ]_w
[_w s i dʒː u ]_w
[_w w eː t̪ a ]_w
[_w r aj n a ]_w
[_w d̪ː uː r ]_w
[_w ħ a tʃ a ]_w
[_w b e r o ]_w
[_w s e r ]_w
[_w t̪ i z d̪ ]_w
[_w aː d̪ a ]_w
[_w s e mː a ]_w
[_w t̪ m uː r ]_w
[_w v e r a ]_w
[_w u n iː d̪ ]_w
[_w k e lː aː ]_w
[_w i n aː d̪ ]_w
[_w m o r t̪ ]_w
[_w r e tʃ a ]_w
[_w aː ʃ a r ]_w
[_w j m uː t̪ ]_w
[_w oː l i ]_w
[_w ħ a t̪ː ]_w
[_w s f a d̪ ]_w
[_w ħ a l ]_w
[_w uː m ɪː ʃ ]_w
[_w rː i d̪ u ]_w
[_w t̪ f a l ]_w
[_w l m f a ]_w
[_w n ħ o sː ]_w
[_w t̪ e m i ]_w
[_w i ts d̪ a ]_w
[_w t̪ m i sː ]_w
[_w n ɡ iː d̪ ]_w
[_w m iː ʃ ]_w
[_w ɡ uː n ]_w
[_w b e j n ]_w
[_w ts ɡ iː r ]_w
[_w ʃ oː l u ]_w
[_w a f n a ]_w
[_w t̪ a ʔ s ]_w
[_w i dʒ iː b ]_w
[_w i j ɪː m ]_w
[_w t̪ m uː t̪ ]_w
[_w d̪ a r ]_w
[_w j k iː t̪ ]_w
[_w t̪ r i t̪ː ]_w
[_w l ħ a t̪ː ]_w
[_w s ew d̪ a ]_w
[_w k o r s ]_w
[_w k r ɪː i ]_w
[_w l e z d̪ ]_w
[_w aː n t̪ i ]_w
[_w t̪ aː n a ]_w
[_w d̪ a r d̪ ]_w
[_w a t̪ː i ]_w
[_w i t̪ː iː b ]_w
[_w m e jː u ]_w
[_w ħ l a z ]_w
[_w a bː uː s ]_w
[_w n ɪː u ]_w
[_w a t̪ː a ɡː ]_w
[_w l ħ iː n ]_w
[_w p u n t̪ ]_w
[_w t̪ a d̪ ]_w
[_w a n ɡ e ]_w
[_w ɡ e mː ]_w
[_w o mː u ]_w
[_w i n uː ]_w
[_w t̪ o n t̪ ]_w
[_w aw i sː u ]_w
[_w d̪ a t̪ ]_w
[_w s a f a ]_w
[_w t̪ː e mː ]_w
[_w dʒ a b u ]_w
[_w k l a pː ]_w
[_w t̪ i dʒ a ]_w
[_w ts ɡ aː r ]_w
[_w t̪ w iː l ]_w
[_w l ew n ]_w
[_w t̪ː aj b a ]_w
[_w l aː a r ]_w
[_w dʒ a r a ]_w
[_w aː d̪ e t̪ ]_w
[_w ʔ a l ]_w
[_w k a m p ]_w
[_w f t̪ aw k ]_w
[_w m e ʃ a ]_w
[_w w a ʔ d̪ ]_w
[_w i n t̪ ]_w
[_w k ɪː n u ]_w
[_w s t̪ e sː ]_w
[_w f ʃ i ]_w
[_w t̪ r iː ʔ ]_w
[_w ɡ r u bː ]_w
[_w ʔ t̪ iː l ]_w
[_w s o d̪ i ]_w
[_w k u lː ]_w
[_w i n t̪ i ]_w
[_w i l aː d̪ː ]_w
[_w b iː n ]_w
[_w aː ʃː oː l ]_w
[_w t̪ k uː n ]_w
[_w i ʃː oː l ]_w
[_w d̪ː r iː ʔ ]_w
[_w f e r i ]_w
[_w s ew dʒ d̪ ]_w
[_w ɡ w ɪː t̪ ]_w
[_w ʔ b iː l ]_w
[_w f e r m ]_w
[_w ɡ ɪː n ʃ ]_w
[_w tʃː a n s ]_w
[_w ts m ɪː n ]_w
[_w r u sː u ]_w
[_w r uː m a ]_w
[_w ʔ ɪː e d̪ ]_w
[_w f t̪ aw n ]_w
[_w u n uː r ]_w
[_w sː iː r ]_w
[_w aː t̪ n i ]_w
[_w s e d̪ː ]_w
[_w s e b a ]_w
[_w t̪ iː k ]_w
[_w m i tsː i ]_w
[_w rː i t̪ u ]_w
[_w k e mː ]_w
[_w u ɡ o lː ]_w
[_w a n d̪ i ]_w
[_w s a l ]_w
[_w k t̪ iː t̪ ]_w
[_w ħ z ɪː b ]_w
[_w m ew t̪ ]_w
[_w d̪ː a r ]_w
[_w ʃ ɪː t̪ a ]_w
[_w o dʒː e t̪ː ]_w
[_w o fː r a ]_w
[_w ɡ o n d̪ ]_w
[_w b u n t̪ ]_w
[_w f e r s ]_w
[_w a n ts i ]_w
[_w i d̪ː r a ]_w
[_w f s ew dʒ ]_w
[_w w r ew ]_w
[_w w k o lː ]_w
[_w f iː l ]_w
[_w l v a m ]_w
[_w t̪ a f ʃ ]_w
[_w aː f n a ]_w
[_w a r m i ]_w
[_w i d̪ː r i ]_w
[_w i nː aː r ]_w
[_w dʒ ew w a ]_w
[_w sː w ɪː dʒ ]_w
[_w j k iː d̪ ]_w
[_w d̪ a ʔ a ]_w
[_w ʃ i n uː ]_w
[_w l k a ts ]_w
[_w d̪ iː k ]_w
[_w w aː d̪ a ]_w
[_w i ʔ iː s ]_w
[_w m k ɪː n ]_w
[_w t̪ a m a ]_w
[_w ʔ i s aː ]_w
[_w b a r ]_w
[_w w ɪː t̪ ]_w
[_w s t̪ ɪː t̪ ]_w
[_w ɡ a r a ]_w
[_w ʔ a l p ]_w
[_w p e l t̪ ]_w
[_w d̪ ɡ iː ʃ ]_w
[_w v e r u ]_w
[_w s t̪ iː l ]_w
[_w uː w a ]_w
[_w m a k ]_w
[_w aː l iː ħ ]_w
[_w dʒ a r ]_w
[_w b l a ]_w
[_w t̪ a ʔː a ]_w
[_w d̪ː l ɪː t̪ ]_w
[_w d̪ː iː m ]_w
[_w d̪ ɪː ʔ a ]_w
[_w i nː a r ]_w
[_w i l p n ]_w
[_w r aj t̪ ]_w
[_w f i n a ]_w
[_w l oː l i ]_w
[_w ħ a lː a ]_w
[_w tʃ e j ]_w
[_w ɪː b e z ]_w
[_w f i j a ]_w
[_w dʒ d̪ iː t̪ ]_w
[_w ɡ o d̪ː a ]_w
[_w e ts a t̪ː ]_w
[_w b iː ħ ]_w
[_w dʒ o b ]_w
[_w l aː d̪ː ]_w
[_w s w ɪː dʒ ]_w
[_w ɡ a d̪ː ]_w
[_w j aː d̪ i ]_w
[_w n s iː b ]_w
[_w j ɪː n ]_w
[_w i n aː r ]_w
[_w s i sː a ]_w
[_w n ɡ uː n ]_w
[_w eː mː ʃ ]_w
[_w j e kː ]_w
[_w n r u ]_w
[_w t̪ e l v ]_w
[_w f iː n ]_w
[_w l iː l ]_w
[_w aː l a ]_w
[_w i f ɪː r ]_w
[_w d̪ iː b ]_w
[_w ħ iː n ]_w
[_w j ej n ]_w
[_w k w a nː ]_w
[_w i lː uː m ]_w
[_w t̪ ej n ]_w
[_w m a ħ aː ]_w
[_w s ew w a ]_w
[_w i n aː t̪ ]_w
[_w t̪ a n d̪ ]_w
[_w ɪː o r ]_w
[_w j i dʒ u ]_w
[_w n uː r u ]_w
[_w s ɪː d̪ a ]_w
[_w a r t̪ i ]_w
[_w v o r s ]_w
[_w awː d̪ ʃ i ]_w
[_w i tsː ew ɡ ]_w
[_w i ħ o sː ]_w
[_w s i t̪ː a ]_w
[_w l o mː ]_w
[_w ʃ k ɪː n ]_w
[_w f k u lː ]_w
[_w k o w tʃ ]_w
[_w j s iː r ]_w
[_w t̪ e i ]_w
[_w k o r ]_w
[_w p i tʃː a ]_w
[_w v oj t̪ ]_w
[_w j k iː n ]_w
[_w ɡ o n t̪ ]_w
[_w ɡ r a t̪ ]_w
[_w b d̪ iː n ]_w
[_w i dʒː iː p ]_w
[_w s n iː n ]_w
[_w t̪ a k ]_w
[_w w a ʔ t̪ ]_w
[_w ɡ w a nː ]_w
[_w t̪ uː z a ]_w
[_w i d̪ː uː r ]_w
[_w m o ħː i ]_w
[_w k a t̪ː ]_w
[_w f t̪ iː n ]_w
[_w d̪ a f u ]_w
[_w i n d̪ ]_w
[_w w i tʃː u ]_w
[_w b i j a ]_w
[_w d̪ a r v ]_w
[_w i t̪ u ]_w
[_w t̪ i tʃ i ]_w
[_w ɪː b e s ]_w
[_w p i lː i ]_w
[_w n ɪː s ]_w
[_w t̪ uː l ]_w
[_w s k o p ]_w
[_w d̪ː ɪː t̪ a ]_w
[_w t̪ aj b a ]_w
[_w aː t̪ u ]_w
[_w lː oː b a ]_w
[_w i t̪ e a ]_w
[_w t̪ i s a ]_w
[_w d̪ a l i ]_w
[_w z e n s ]_w
[_w t̪ a r u ]_w
[_w n aː d̪ː u ]_w
[_w ɡ aː t̪ː ew ]_w
[_w p i sː ]_w
[_w n aː r ]_w
[_w ʔ aw w i ]_w
[_w t̪ a ɡː a ]_w
[_w m ɪː d̪ ]_w
[_w ɡ e j t̪ ]_w
[_w l uː r a ]_w
[_w s ew dʒ aː ]_w
[_w j e r s ]_w
[_w m ɪː ɡ uː ]_w
[_w s i b d̪ ]_w
[_w p o a t̪ ]_w
[_w l uː d̪ i ]_w
[_w t̪ aː l u ]_w
[_w ħ l ɪː f ]_w
[_w b a ʃː i ]_w
[_w f o t̪ i ]_w
[_w m i l i ]_w
[_w t̪ ɪː ɡ iː ]_w
[_w j uː ts a ]_w
[_w ʃː oː l ]_w
[_w l oː r a ]_w
[_w zː w ɪː dʒ ]_w
[_w j e a n ]_w
[_w d̪ː ɪː d̪ a ]_w
[_w t̪ aj t̪ ]_w
[_w t̪ ɪː l a ]_w
[_w l e jː a ]_w
[_w u s a d̪ ]_w
[_w m eː mː ]_w
[_w ɡ ɪː d̪ ]_w
[_w d̪ eː r ]_w
[_w i s iː r ]_w
[_w d̪ e i ]_w
[_w ɪː b z a ]_w
[_w z a d̪ a ]_w
[_w k iː f ]_w
[_w ɡ e j d̪ ]_w
[_w r a r i ]_w
[_w ʃ ħ iː n ]_w
[_w d̪ a lː a ]_w
[_w uː z u ]_w
[_w i dʒː iː b ]_w
[_w m i nː ]_w
[_w aː d̪ː e j ]_w
[_w f d̪ iː d̪ ]_w
[_w ʔ a m u ]_w
[_w t̪ː ɪː e d̪ ]_w
[_w f r a r ]_w
[_w t̪ a tsː a ]_w
[_w b d̪ ɪː d̪ ]_w
[_w k e lː i ]_w
[_w d̪ a r aw ]_w
[_w i j a ]_w
[_w p e r o ]_w
[_w j a f ʃ ]_w
[_w ħ aj t̪ ]_w
[_w s aː r ]_w
[_w t̪ ɡ iː d̪ ]_w
[_w s t̪ ɪː d̪ ]_w
[_w d̪ a r a ]_w
[_w ajː j a ]_w
[_w aː m e z ]_w
[_w s o mː a ]_w
[_w s p ɪː ħ ]_w
[_w f l u e ]_w
[_w n aː d̪ a ]_w
[_w n a f ʃ ]_w
[_w mː o rː u ]_w
[_w p e r ]_w
[_w a lː a ]_w
[_w s p a lː ]_w
[_w j a ʔ a ]_w
[_w ʔ a l i ]_w
[_w tʃ e r d̪ ]_w
[_w aː d̪ u ]_w
[_w t̪ k iː t̪ ]_w
[_w f t̪ a ɡ ]_w
[_w j m uː r ]_w
[_w a n k i ]_w
[_w t̪ e l f ]_w
[_w b iː z ]_w
[_w e s t̪ i ]_w
[_w n u z aw ]_w
[_w m ew d̪ u ]_w
[_w v iː o m ]_w
[_w d̪ a ɡː a ]_w
[_w m o n z ]_w
[_w ħ aj t̪ i ]_w
[_w r ɪː t̪ u ]_w
[_w v iː ħ ]_w
[_w p n ɪː d̪ ]_w
[_w w ɪː e t̪ ]_w
[_w i ɡ uː n ]_w
[_w r e dʒ ow ]_w
[_w f k a s ]_w
[_w l i r a ]_w
[_w j i s i ]_w
[_w m e l ]_w
[_w b a ʃː a ]_w
[_w i t̪ m a ]_w
[_w j aː t̪ i ]_w
[_w d̪ː a l p ]_w
[_w u z a d̪ ]_w
[_w rː i t̪ ʃ ]_w
[_w f iː z ]_w
[_w f a d̪ː ]_w
[_w t̪ ɪː ʔ a ]_w
[_w aː n j a ]_w
[_w d̪ a ħ t̪ ]_w
[_w e l uː f ]_w
[_w rː ɪː t̪ a ]_w
[_w z e b a ]_w
[_w s e t̪ a ]_w
[_w k e r aː ]_w
[_w z d̪ a d̪ ]_w
[_w b oː t̪ ]_w
[_w i sː aj f ]_w
[_w t̪ a t̪ ]_w
[_w m a r a ]_w
[_w r dʒ ɪː l ]_w
[_w d̪ aː n a ]_w
[_w j uː r u ]_w
[_w m ɪː e ɡ ]_w
[_w p n ew ]_w
[_w m ɪː k uː ]_w
[_w n ej d̪ u ]_w
[_w i l b n ]_w
[_w m i nː i ]_w
[_w s a r u ]_w
[_w p l o ɡː ]_w
[_w t̪ a zː ew ]_w
[_w ʃ uː r ]_w
[_w t̪ a z ]_w
[_w i mː uː r ]_w
[_w lː uː m ]_w
[_w t̪ a ħ ]_w
[_w i zː ew dʒ ]_w
[_w aː t̪ oː m ]_w
[_w ħ aj r ]_w
[_w i rː iː t̪ ]_w
[_w ʔ a lː u ]_w
[_w l i j a ]_w
[_w ɡ aː d̪ a ]_w
[_w j s e ħː ]_w
[_w d̪ ɪː ow ]_w
[_w dʒ o v e ]_w
[_w d̪ aw l ]_w
[_w l e o n ]_w
[_w aː j a r ]_w
[_w a r d̪ i ]_w
[_w l m ew t̪ ]_w
[_w j s iː b ]_w
[_w tʃ iː t̪ ]_w
[_w ɡ aː t̪ u ]_w
[_w p a r ]_w
[_w t̪ eː r a ]_w
[_w ʃ o ɡː ]_w
[_w f o d̪ ]_w
[_w ħ l a s ]_w
[_w t̪ e n i ]_w
[_w ħ aj t̪ u ]_w
[_w t̪ a r t̪ ]_w
[_w b i tʃː a ]_w
[_w b a sː i ]_w
[_w f d̪ a ]_w
[_w s e m a ]_w
[_w f u ʔ aː ]_w
[_w t̪ j a r ]_w
[_w p t̪ a n ]_w
[_w i l oː m ]_w
[_w s a t̪ a ]_w
[_w ʔ a l u ]_w
[_w n i t̪ i ]_w
[_w m ɪː t̪ ]_w
[_w eː d̪ t̪ ]_w
[_w s a ħː a ]_w
[_w i t̪ f a ]_w
[_w i z d̪ a ]_w
[_w ħ a lː i ]_w
[_w m ɪː t̪ u ]_w
[_w w i s ʔ ]_w
[_w d̪ a lː i ]_w
[_w k e lː u ]_w
[_w f d̪ aw k ]_w
[_w ɡ o r ]_w
[_w t̪ n uː b ]_w
[_w f i d̪ i ]_w
[_w l a r d̪ ]_w
[_w r aj t̪ u ]_w
[_w b e d̪ a ]_w
[_w t̪ a n a ]_w
[_w t̪ː ɪː e t̪ ]_w
[_w p i s a ]_w
[_w ʃ v i ]_w
