[_w e b e ]_w
[_w n e w e ]_w
[_w m e n o ]_w
[_w b a n a ]_w
[_w a s a ]_w
[_w l i w a ]_w
[_w ɡ e t o ]_w
[_w w a ᵑɡ o ]_w
[_w s i d u ]_w
[_w t ɔ b e ]_w
[_w j e ŋ o ]_w
[_w a ⁿd e ]_w
[_w ɡ u l a ]_w
[_w ŋ a l o ]_w
[_w n a ᵑɡ e ]_w
[_w k a m e ]_w
[_w j u t a ]_w
[_w t u k e ]_w
[_w i n o ]_w
[_w j o ɡ o ]_w
[_w b o d o ]_w
[_w j o m o ]_w
[_w p i ŋ a ]_w
[_w k u t o ]_w
[_w ŋ u n o ]_w
[_w n a r u ]_w
[_w e l a ]_w
[_w ɡ o l ]_w
[_w ⁿd a n o ]_w
[_w ɔ r e ]_w
[_w u w a ]_w
[_w ɡ o m o ]_w
[_w p u l i ]_w
[_w ɔ n e ]_w
[_w p o d a ]_w
[_w b e j e ]_w
[_w t o w ɔ ]_w
[_w ɡ i l o ]_w
[_w ɡ o w u ]_w
[_w t e w ɔ ]_w
[_w m a r i ]_w
[_w n e ᵐb o ]_w
[_w j e t e ]_w
[_w j a j i ]_w
[_w e k e ]_w
[_w t e w o ]_w
[_w m a ᵐb u ]_w
[_w ɡ u r a ]_w
[_w l o k o ]_w
[_w j o j i ]_w
[_w m e l e ]_w
[_w j e r o ]_w
[_w k i n i ]_w
[_w j e s i ]_w
[_w n o ᵐb o ]_w
[_w t e t o ]_w
[_w b i ŋ o ]_w
[_w n o r o ]_w
[_w s o l ]_w
[_w j o b a ]_w
[_w s o r o ]_w
[_w d a r o ]_w
[_w n a m o ]_w
[_w k e n e ]_w
[_w k o ɡ i ]_w
[_w s a r o ]_w
[_w r o ɡ o ]_w
[_w m o k u ]_w
[_w j i s a ]_w
[_w j o j o ]_w
[_w s o s o ]_w
[_w e t e ]_w
[_w ɡ e n o ]_w
[_w t a k a ]_w
[_w k a n a ]_w
[_w t a r o ]_w
[_w a j i s ]_w
[_w n e m i ]_w
[_w p i ŋ o ]_w
[_w t e l o ]_w
[_w t i ɡ i ]_w
[_w a n a ]_w
[_w ɡ e n e ]_w
[_w n e j o ]_w
[_w ɔ n i ]_w
[_w j a n i ]_w
[_w k a ⁿd e ]_w
[_w s o w e ]_w
[_w k o k o ]_w
[_w ɡ a ⁿd o ]_w
[_w a n k a ]_w
[_w s u ŋ o ]_w
[_w t a l o ]_w
[_w a w a ]_w
[_w s e b o ]_w
[_w s i s a ]_w
[_w b i r u ]_w
[_w i n o ɡ ]_w
[_w ɡ a m e ]_w
[_w k e t a ]_w
[_w u t e ]_w
[_w k i t e ]_w
[_w k a b o ]_w
[_w a s o s ]_w
[_w ɡ o j a ]_w
[_w t e k o ]_w
[_w e s e ]_w
[_w ᵑɡ a w o ]_w
[_w ᵑɡ u j i ]_w
[_w k u r i ]_w
[_w k o ⁿd i ]_w
[_w m i r o ]_w
[_w d i ɡ i ]_w
[_w ɔ l e ]_w
[_w s e r a ]_w
[_w s o r u ]_w
[_w ɡ a l i ]_w
[_w n a k a ]_w
[_w w e t i ]_w
[_w b u l i ]_w
[_w w a p u ]_w
[_w u l o ]_w
[_w j ɔ ɡ e ]_w
[_w k o w u ]_w
[_w ɡ o ᵐb o ]_w
[_w b i b i ]_w
[_w k e ᵑɡ e ]_w
[_w d o b ɔ ]_w
[_w k ɔ t ]_w
[_w k o n e ]_w
[_w s o ŋ o ]_w
[_w j a ᵐb o ]_w
[_w ɡ o n i ]_w
[_w d a k a ]_w
[_w ɔ t e ]_w
[_w p u r i ]_w
[_w k ɔ t u ]_w
[_w k i t a ]_w
[_w k o n i ]_w
[_w a r i ]_w
[_w s a m ]_w
[_w j i s ]_w
[_w r o ᵑɡ e ]_w
[_w s e r o ]_w
[_w n o k o ]_w
[_w p i b i ]_w
[_w d e d o ]_w
[_w ɡ a k a ]_w
[_w s a l o ]_w
[_w d e ɡ a ]_w
[_w s i l o ]_w
[_w j e m s ]_w
[_w k ɔ l o ]_w
[_w t e ɡ e ]_w
[_w k a w a ]_w
[_w b i p i ]_w
[_w u l i ]_w
[_w ɡ o k i ]_w
[_w s a ⁿd e ]_w
[_w s u k i ]_w
[_w ᵑɡ a m i ]_w
[_w ɡ ɔ ⁿd o ]_w
[_w p i n e ]_w
[_w d o b a ]_w
[_w j u d a ]_w
[_w n e r o ]_w
[_w t e d o ]_w
[_w k o r o ]_w
[_w ɡ e j e ]_w
[_w w ɔ r o ]_w
[_w t o ᵑɡ i ]_w
[_w j a b a ]_w
[_w k l o ɡ ]_w
[_w k e j a ]_w
[_w d e w ɔ ]_w
[_w a w u ]_w
[_w k u d o ]_w
[_w r ɔ ɡ o ]_w
[_w w i t u ]_w
[_w p i r u ]_w
[_w ɡ o n o ]_w
[_w ŋ u r o ]_w
[_w ɡ o l u ]_w
[_w b i t a ]_w
[_w l u k ]_w
[_w s a r a ]_w
[_w s a r i ]_w
[_w ᵑɡ u s i ]_w
[_w k e j i ]_w
[_w k i l o ]_w
[_w n e t e ]_w
[_w e ŋ e l ]_w
[_w s i s o ]_w
[_w d ɔ t u ]_w
[_w ᵐb i r i ]_w
[_w j e n o ]_w
[_w w e ŋ a ]_w
[_w l a m ]_w
[_w m a j i ]_w
[_w b a l i ]_w
[_w n e w a ]_w
[_w ɡ e d a ]_w
[_w k u m u ]_w
[_w ɡ e t a ]_w
[_w h e ɡ a ]_w
[_w d o m o ]_w
[_w d u w ɔ ]_w
[_w j o r o ]_w
[_w k a w u ]_w
[_w d o w ɔ ]_w
[_w j a r i ]_w
[_w w a t a ]_w
[_w ɡ a w a ]_w
[_w j o n a ]_w
[_w d a ɡ a ]_w
[_w w i d ]_w
[_w s i t u ]_w
[_w k u ᵐb e ]_w
[_w s i k o ]_w
[_w t a ᵐb u ]_w
[_w p a w a ]_w
[_w i ŋ o ]_w
[_w j e ɡ a ]_w
[_w t e r o ]_w
[_w ɡ u m i ]_w
[_w t ɔ ɡ o ]_w
[_w ɡ i n i ]_w
[_w p e ɡ ]_w
[_w n u ᵐb o ]_w
[_w e ⁿd e ]_w
[_w m a ɡ ]_w
[_w ɡ ɔ l o ]_w
[_w u w e l ]_w
[_w k i j a ]_w
[_w u d ɔ ]_w
[_w b i n e ]_w
[_w p i t a ]_w
[_w j e d e ]_w
[_w t o ɡ o ]_w
[_w d e d e ]_w
[_w b e k ]_w
[_w ɡ i t e ]_w
[_w k o l u ]_w
[_w k o n o ]_w
[_w ɡ o ɡ o ]_w
[_w b u k a ]_w
[_w k u m i ]_w
[_w a d a m ]_w
[_w k o l o ]_w
[_w b o k u ]_w
[_w p e t i ]_w
[_w ɡ i ŋ o ]_w
[_w r o m ]_w
[_w u d e ]_w
[_w d e j a ]_w
[_w t e d e ]_w
[_w b e l u ]_w
[_w j e r i ]_w
[_w b a r i ]_w
[_w u l u ]_w
[_w d a j i ]_w
[_w b e t i ]_w
[_w j e l o ]_w
[_w k a d u ]_w
[_w s ɡ u l ]_w
[_w ɡ ɔ r o ]_w
[_w m e d e ]_w
[_w n e d e ]_w
[_w j a n o ]_w
[_w k o ᵐb o ]_w
[_w ᵑɡ i l e ]_w
[_w ɡ o w ɔ ]_w
[_w b i ɡ ]_w
[_w w a j i ]_w
[_w a j e n ]_w
[_w ɡ o k o ]_w
[_w d o w i ]_w
[_w k e ᵐb e ]_w
[_w j a r o ]_w
[_w ɡ e ᵑɡ a ]_w
[_w d a j a ]_w
[_w k l o k ]_w
[_w w i ⁿd a ]_w
[_w d o l i ]_w
[_w p i p i ]_w
[_w t e k a ]_w
[_w ɡ u m u ]_w
[_w j o n i ]_w
[_w ɡ i d e ]_w
[_w p a j e ]_w
[_w j u ɡ a ]_w
[_w ɡ o j e ]_w
[_w s e l o ]_w
[_w p i d a ]_w
[_w j a t e ]_w
[_w t o b a ]_w
[_w ɡ o n e ]_w
[_w p o l ]_w
[_w o l i p ]_w
[_w k o ɡ o ]_w
[_w s i j a ]_w
[_w j e ⁿd o ]_w
[_w t u w i ]_w
[_w ɔ r o ]_w
[_w m i d a ]_w
[_w ŋ u ⁿd o ]_w
[_w l i d i ]_w
[_w t u w ɔ ]_w
[_w w a k a ]_w
[_w ɡ u ᵐb e ]_w
[_w m i t a ]_w
[_w t e k e ]_w
[_w n o w a ]_w
[_w k e k a ]_w
[_w b i ŋ a ]_w
[_w k e n a ]_w
[_w ɡ o ᵑɡ a ]_w
[_w t o m o ]_w
[_w ɡ a r o ]_w
[_w k o l ]_w
[_w ɔ l o ]_w
[_w p u w ɔ ]_w
[_w e p e l ]_w
[_w w a b u ]_w
[_w b ɔ t ɔ ]_w
[_w o l i b ]_w
[_w ɡ i r a ]_w
[_w b a j e ]_w
[_w ɡ e ŋ o ]_w
[_w k i l a ]_w
[_w m u ŋ a ]_w
[_w ɡ o ⁿd i ]_w
[_w ɔ ɡ u ]_w
[_w k o k i ]_w
[_w b u w ɔ ]_w
[_w a ⁿd u ]_w
[_w l e t ]_w
[_w t e ɡ a ]_w
[_w o n i ]_w
[_w n o ɡ o ]_w
[_w l o ɡ o ]_w
[_w s e n ]_w
[_w h e k a ]_w
[_w s o p o ]_w
[_w n a s a ]_w
[_w s i ɡ o ]_w
[_w d e l o ]_w
[_w l i t a ]_w
[_w l ɔ k u ]_w
[_w a t a m ]_w
[_w m e m e ]_w
[_w w e d i ]_w
[_w k o j e ]_w
[_w t o j a ]_w
[_w i d i ]_w
[_w d e n i ]_w
[_w k o j a ]_w
[_w k i n a ]_w
[_w e n e ]_w
[_w j e j a ]_w
[_w j a k a ]_w
[_w ⁿd i ⁿd i ]_w
[_w ɡ i j o ]_w
[_w p i k ]_w
[_w j u d o ]_w
[_w k i r a ]_w
[_w u d o ]_w
[_w i s o ]_w
[_w k a t o ]_w
[_w d i ɡ a ]_w
[_w k a t u ]_w
[_w e ᵑɡ e ]_w
[_w j ɔ k e ]_w
[_w u j a ]_w
[_w ɡ a w u ]_w
[_w t o k u ]_w
[_w t i s i ]_w
[_w n o s o ]_w
[_w e r i ]_w
[_w s i k a ]_w
[_w s a ᵐb i ]_w
[_w b o ɡ a ]_w
[_w ɡ u r i ]_w
[_w d e b i ]_w
[_w ɡ i d a ]_w
[_w k o m o ]_w
[_w e j a ]_w
[_w d o j a ]_w
[_w s o ɡ i ]_w
[_w d u w i ]_w
[_w t e ɡ u ]_w
[_w k a k a ]_w
[_w p a j i ]_w
[_w j o l o ]_w
[_w t a j i ]_w
[_w ɡ a t u ]_w
[_w k o ᵑɡ a ]_w
[_w e m e ]_w
[_w s i l e ]_w
[_w ɡ u n o ]_w
[_w k r i t ]_w
[_w d e b o ]_w
[_w k e ɡ a ]_w
[_w s a j a ]_w
[_w n e j a ]_w
[_w k e d a ]_w
[_w ɡ i n a ]_w
[_w w a t o ]_w
[_w t e b o ]_w
[_w u j e ]_w
[_w b e l o ]_w
[_w p e ᵑɡ o ]_w
[_w t ɔ k o ]_w
[_w k i j o ]_w
[_w d a ŋ o ]_w
[_w ɡ ɔ t ]_w
[_w u t o ]_w
[_w k u ᵐb a ]_w
[_w d ɔ b e ]_w
[_w b e j i ]_w
[_w ɡ a l o ]_w
[_w m o ɡ u ]_w
[_w k i ŋ ]_w
[_w b e ɡ a ]_w
[_w m a k ]_w
[_w k ɔ n o ]_w
[_w m ɔ l e ]_w
[_w e w e ]_w
[_w r ɔ k o ]_w
[_w ɔ k a ]_w
[_w ɔ d e ]_w
[_w i ɡ i p ]_w
[_w ᵑɡ i r e ]_w
[_w s i ɡ a ]_w
[_w e j i ]_w
[_w p o d o ]_w
[_w a n a s ]_w
[_w ɡ o l o ]_w
[_w p u k a ]_w
[_w u ᵑɡ u ]_w
[_w e n i ]_w
[_w t a ŋ o ]_w
[_w u r i ]_w
[_w ɡ o ɡ i ]_w
[_w s a l i ]_w
[_w l i d a ]_w
[_w ɡ u t o ]_w
[_w j u t ]_w
[_w ɡ i l a ]_w
[_w p u ᵑɡ i ]_w
[_w i k i b ]_w
[_w e b e l ]_w
[_w ɡ ɔ n o ]_w
[_w ɡ a n a ]_w
[_w b i k ]_w
[_w ɡ a ɡ a ]_w
[_w l i t i ]_w
[_w w a ɡ a ]_w
[_w k ɔ d u ]_w
[_w j a p a ]_w
[_w p a l i ]_w
[_w ɡ a t o ]_w
[_w i t i ]_w
[_w d u k e ]_w
[_w p o k u ]_w
[_w p a r i ]_w
[_w ɡ o ᵑɡ e ]_w
[_w p e l u ]_w
[_w n e l o ]_w
[_w ɡ e d o ]_w
[_w ɡ i t a ]_w
[_w p u ɡ ]_w
[_w ŋ a ᵑɡ a ]_w
[_w s o k i ]_w
[_w ɡ e j a ]_w
[_w b u ɡ ]_w
[_w ɡ o r o ]_w
[_w j o ⁿd o ]_w
[_w j o j a ]_w
[_w d e ɡ u ]_w
[_w n a ᵐb a ]_w
[_w k o b i ]_w
[_w s o ᵑɡ i ]_w
[_w d o ɡ u ]_w
[_w b e ɡ ]_w
[_w b e r o ]_w
[_w u r u ]_w
[_w w a ⁿd e ]_w
[_w t o l i ]_w
[_w ŋ a j a ]_w
[_w t u ɡ e ]_w
[_w b i n i ]_w
[_w j a l o ]_w
[_w ɔ t ɔ ]_w
[_w ɡ i s a ]_w
[_w p u k ]_w
[_w m ɔ r e ]_w
[_w d ɔ d u ]_w
[_w k e d o ]_w
[_w ɔ k u ]_w
[_w p a n a ]_w
[_w k o j i ]_w
[_w w e t u ]_w
[_w d o ᵑɡ i ]_w
[_w j e l i ]_w
[_w k a p o ]_w
[_w k a l o ]_w
[_w ɡ e ᵐb e ]_w
[_w w i d u ]_w
[_w k a d o ]_w
[_w s k u l ]_w
[_w d o r i ]_w
[_w k e t o ]_w
[_w ɡ a d u ]_w
[_w k e ᵑɡ a ]_w
[_w ɔ ᵑɡ ɔ ]_w
[_w b o ɡ u ]_w
[_w d e k a ]_w
[_w i k i p ]_w
[_w e p e ]_w
[_w d e k u ]_w
[_w d o k u ]_w
[_w t a j a ]_w
[_w ɡ e n a ]_w
[_w t e b i ]_w
[_w o r i n ]_w
[_w s o r i ]_w
[_w ɡ u d o ]_w
[_w ɡ i j a ]_w
[_w t o r i ]_w
[_w ɔ ɡ a ]_w
[_w ɡ a j i ]_w
[_w n e n i ]_w
[_w p e l o ]_w
[_w t e k u ]_w
[_w b u ᵑɡ i ]_w
[_w w i t ]_w
[_w t e p i ]_w
[_w ɡ a j a ]_w
[_w p i n i ]_w
[_w k i s a ]_w
[_w t o k o ]_w
[_w ɡ r i t ]_w
[_w ɡ o b i ]_w
[_w d o k o ]_w
[_w i ɡ i b ]_w
[_w b o l ]_w
[_w p i ɡ ]_w
[_w ɡ i ŋ ]_w
[_w ɡ e k a ]_w
[_w d u ɡ e ]_w
[_w w e d u ]_w
[_w p e j i ]_w
[_w l e d ]_w
[_w d e ɡ o ]_w
[_w s a ɡ a ]_w
[_w t e ɡ o ]_w
[_w k ɔ d ]_w
[_w b u ɡ a ]_w
[_w ɡ e ɡ a ]_w
[_w ɡ u ᵐb a ]_w
[_w p o ɡ u ]_w
[_w k o p i ]_w
[_w k r i d ]_w
[_w b e d i ]_w
[_w p e r o ]_w
[_w p e k ]_w
[_w p e k a ]_w
[_w d e k o ]_w
[_w w a d o ]_w
[_w d e k e ]_w
[_w b e k a ]_w
[_w d i s i ]_w
[_w ɡ a p o ]_w
[_w p i j a ]_w
[_w ɡ r i d ]_w
[_w d e p o ]_w
[_w p o k a ]_w
[_w j u d ]_w
[_w t ɔ d u ]_w
[_w p o ɡ a ]_w
[_w t o p a ]_w
[_w ɡ ɔ d u ]_w
[_w ɡ a d o ]_w
[_w d o ɡ o ]_w
[_w s u ɡ i ]_w
[_w b ɔ d ɔ ]_w
[_w p e ɡ a ]_w
[_w p u ɡ a ]_w
[_w ɔ d ɔ ]_w
[_w t o ɡ u ]_w
[_w e d e ]_w
[_w p e d i ]_w
[_w ɡ ɔ d ]_w
[_w s e p o ]_w
[_w t e p o ]_w
[_w ɡ o p i ]_w
[_w j o p a ]_w
[_w d e p i ]_w
[_w d o p a ]_w
