[_w z e k ]_w
[_w r a e ]_w
[_w t i u ]_w
[_w e r o d ]_w
[_w e t a t ]_w
[_w a ŋ e k ]_w
[_w e m a p ]_w
[_w u n i β ]_w
[_w a p a n ]_w
[_w a m i p ]_w
[_w e r o m ]_w
[_w d a r i ]_w
[_w t i ɡ ]_w
[_w u r u ]_w
[_w e m a ɡ ]_w
[_w ɣ a o m ]_w
[_w ɣ e ɡ e ]_w
[_w i n o k ]_w
[_w ŋ e o ]_w
[_w a n a m ]_w
[_w z o o ɡ ]_w
[_w u l o β ]_w
[_w b o ɣ ]_w
[_w r o m a ]_w
[_w e m e ɡ ]_w
[_w o k o β ]_w
[_w s a p ]_w
[_w ŋ o n ]_w
[_w s e i z ]_w
[_w o p u l ]_w
[_w t u p ]_w
[_w r a m ]_w
[_w ŋ a r o ]_w
[_w ŋ e d i ]_w
[_w ɣ e l ]_w
[_w ɣ e k e ]_w
[_w t o o k ]_w
[_w n a p ]_w
[_w e ŋ e ɣ ]_w
[_w ŋ e r e ]_w
[_w a n a ɣ ]_w
[_w a p u p ]_w
[_w n o d u ]_w
[_w a t e m ]_w
[_w b i t a ]_w
[_w a ɣ o t ]_w
[_w t a r i ]_w
[_w a k o l ]_w
[_w e t e ɡ ]_w
[_w u r u t ]_w
[_w ɣ e s a ]_w
[_w a ŋ a p ]_w
[_w t a b u ]_w
[_w ŋ a i p ]_w
[_w e ŋ a r ]_w
[_w p i d u ]_w
[_w n a u r ]_w
[_w p o n ]_w
[_w m a n a ]_w
[_w ɣ a o ɡ ]_w
[_w t a t ]_w
[_w ɡ o k ]_w
[_w a p a r ]_w
[_w o l a ɣ ]_w
[_w e p e r ]_w
[_w a ŋ a r ]_w
[_w a ɡ o ]_w
[_w e t e o ]_w
[_w z u d a ]_w
[_w ɡ i d ]_w
[_w z e z i ]_w
[_w ɣ a ɣ ]_w
[_w p a r u ]_w
[_w ɣ o u l ]_w
[_w t o o ŋ ]_w
[_w a r i ]_w
[_w t e i n ]_w
[_w a n a p ]_w
[_w ɡ o e z ]_w
[_w m o d ]_w
[_w b i z ]_w
[_w p e r e ]_w
[_w a p o k ]_w
[_w r e t ]_w
[_w a ɣ o p ]_w
[_w u t a r ]_w
[_w ɡ i t ]_w
[_w ɡ e n ]_w
[_w n a e l ]_w
[_w m a i ]_w
[_w t o d u ]_w
[_w t e i b ]_w
[_w t o k u ]_w
[_w p u s i ]_w
[_w s e i t ]_w
[_w z i s a ]_w
[_w d e ɡ e ]_w
[_w o r a t ]_w
[_w a l i s ]_w
[_w o ɡ o p ]_w
[_w z e i z ]_w
[_w p u z i ]_w
[_w n o o ɣ ]_w
[_w b a i m ]_w
[_w e t o m ]_w
[_w z a t e ]_w
[_w ɡ a r ]_w
[_w r e o ɣ ]_w
[_w n a t a ]_w
[_w t o o ɡ ]_w
[_w t a k ]_w
[_w n a r ]_w
[_w s i b ]_w
[_w o r a ɣ ]_w
[_w n a ŋ ]_w
[_w a k a t ]_w
[_w s e n ]_w
[_w e d e ɣ ]_w
[_w m o l ]_w
[_w u n u n ]_w
[_w a n o m ]_w
[_w r e ɡ o ]_w
[_w ɣ e ŋ ]_w
[_w ɣ e k ]_w
[_w ɡ a m o ]_w
[_w a i s a ]_w
[_w ɣ a k a ]_w
[_w p i t a ]_w
[_w b u k ]_w
[_w z e i ]_w
[_w z o t u ]_w
[_w e t e i ]_w
[_w d a ɣ ]_w
[_w k i r u ]_w
[_w e β e t ]_w
[_w e ŋ i s ]_w
[_w a b a r ]_w
[_w n i r ]_w
[_w k i n ]_w
[_w i e z u ]_w
[_w t e i p ]_w
[_w a ɡ a t ]_w
[_w ŋ a i ]_w
[_w r i i t ]_w
[_w ŋ a r i ]_w
[_w r e β ]_w
[_w p u k ]_w
[_w n a o r ]_w
[_w d a i a ]_w
[_w t i z ]_w
[_w t i p i ]_w
[_w ɡ e z ]_w
[_w u l o ŋ ]_w
[_w ɡ o d ]_w
[_w ɣ a β e ]_w
[_w ɡ o t i ]_w
[_w s i z a ]_w
[_w n a s ]_w
[_w p i i d ]_w
[_w n a b ]_w
[_w n e n ]_w
[_w s e i ]_w
[_w n a e r ]_w
[_w t a i r ]_w
[_w e z i a ]_w
[_w k o e ɡ ]_w
[_w k a n o ]_w
[_w b i r ]_w
[_w ŋ e ɡ e ]_w
[_w s e i ŋ ]_w
[_w e t e k ]_w
[_w m o n i ]_w
[_w t o ɡ ]_w
[_w p o e k ]_w
[_w t e k i ]_w
[_w r a i z ]_w
[_w s e s i ]_w
[_w t a a d ]_w
[_w a m i ]_w
[_w z i β ]_w
[_w n e e ɣ ]_w
[_w p a i n ]_w
[_w m o r ]_w
[_w e d e ɡ ]_w
[_w b o r u ]_w
[_w e p e i ]_w
[_w a ɣ o ]_w
[_w t i b i ]_w
[_w ɡ i t u ]_w
[_w t e p ]_w
[_w o ɡ o ɣ ]_w
[_w t e ɡ e ]_w
[_w b a p ]_w
[_w a r o ]_w
[_w ɣ a r e ]_w
[_w e d a ɣ ]_w
[_w a r u ]_w
[_w b o β ]_w
[_w d a i r ]_w
[_w d o u d ]_w
[_w s a k i ]_w
[_w ɡ u t ]_w
[_w a ŋ a ɣ ]_w
[_w s u m ]_w
[_w d o o k ]_w
[_w k i d i ]_w
[_w ɡ o d i ]_w
[_w a β a p ]_w
[_w ɣ e t ]_w
[_w z a k ]_w
[_w e p e k ]_w
[_w e m a b ]_w
[_w t e i ]_w
[_w ɣ a k e ]_w
[_w b e r o ]_w
[_w r a i ]_w
[_w e t a ɣ ]_w
[_w ɣ o l ]_w
[_w m u z ]_w
[_w e p e ɡ ]_w
[_w b e ŋ ]_w
[_w t o l ]_w
[_w m a r ]_w
[_w s a i t ]_w
[_w a m a i ]_w
[_w b a o l ]_w
[_w t a e k ]_w
[_w r a u ]_w
[_w m a i n ]_w
[_w k e r ]_w
[_w z u a m ]_w
[_w p i i ɣ ]_w
[_w k e r e ]_w
[_w e m e ŋ ]_w
[_w p a a r ]_w
[_w ɣ a ɡ a ]_w
[_w e p e e ]_w
[_w t e n ]_w
[_w a β a ŋ ]_w
[_w i s t ]_w
[_w n o t u ]_w
[_w r a m u ]_w
[_w o r e k ]_w
[_w p e i ]_w
[_w k i m ]_w
[_w l o p ]_w
[_w d o o ŋ ]_w
[_w n i m ]_w
[_w ɡ a i a ]_w
[_w b e k u ]_w
[_w a ŋ a t ]_w
[_w a p e t ]_w
[_w n a a ŋ ]_w
[_w z u t a ]_w
[_w r o p ]_w
[_w a e r ]_w
[_w m a n ]_w
[_w t a o ]_w
[_w a n d e ]_w
[_w k a i a ]_w
[_w a s i t ]_w
[_w e β e ɡ ]_w
[_w n a d ]_w
[_w a ŋ a β ]_w
[_w m a u ]_w
[_w k a i z ]_w
[_w s u d a ]_w
[_w m e z ]_w
[_w b u s i ]_w
[_w p e ɡ u ]_w
[_w s o o ɡ ]_w
[_w p u l ]_w
[_w m e r i ]_w
[_w a b a i ]_w
[_w b o t ]_w
[_w n e i ]_w
[_w b e d i ]_w
[_w t o t ]_w
[_w a ŋ a b ]_w
[_w ɡ o t ]_w
[_w p e ɡ a ]_w
[_w ɡ o e k ]_w
[_w n e k e ]_w
[_w a t a ŋ ]_w
[_w z a i t ]_w
[_w b e t i ]_w
[_w d o ɣ o ]_w
[_w b i t u ]_w
[_w k a t ]_w
[_w m e l ]_w
[_w o l a t ]_w
[_w s o a n ]_w
[_w a ɡ o l ]_w
[_w d o o ɡ ]_w
[_w r e z ]_w
[_w a r i n ]_w
[_w s o n a ]_w
[_w a ɣ o ŋ ]_w
[_w t a u r ]_w
[_w s o n ]_w
[_w n a ɡ ]_w
[_w u a s ]_w
[_w p u i ]_w
[_w ŋ u n ]_w
[_w p u n ]_w
[_w r i i d ]_w
[_w ɡ a n o ]_w
[_w a ɣ o β ]_w
[_w a k o p ]_w
[_w b o l ]_w
[_w p i t u ]_w
[_w n o o k ]_w
[_w z o o k ]_w
[_w ŋ e ŋ ]_w
[_w i z t ]_w
[_w t o β e ]_w
[_w s a l ]_w
[_w d i p i ]_w
[_w k o ɡ ]_w
[_w b o d u ]_w
[_w m e o ɣ ]_w
[_w p e r o ]_w
[_w p o i ]_w
[_w o n e z ]_w
[_w t o k ]_w
[_w p e u o ]_w
[_w n a i z ]_w
[_w z p e n ]_w
[_w t a e ŋ ]_w
[_w a s i β ]_w
[_w n a i s ]_w
[_w ɣ a e ŋ ]_w
[_w ɣ e z ]_w
[_w s e z i ]_w
[_w b o r e ]_w
[_w a u m a ]_w
[_w t a a ŋ ]_w
[_w a k a ɡ ]_w
[_w p e k a ]_w
[_w e p e s ]_w
[_w m a u p ]_w
[_w z i k o ]_w
[_w t i k ]_w
[_w d u p ]_w
[_w t e t ]_w
[_w p o l ]_w
[_w i t o u ]_w
[_w k o z ]_w
[_w n a t ]_w
[_w m i m ]_w
[_w k o e k ]_w
[_w b o e ɡ ]_w
[_w o k o s ]_w
[_w k a u ]_w
[_w a k o ]_w
[_w n o a z ]_w
[_w p o i r ]_w
[_w u p a i ]_w
[_w b o r o ]_w
[_w i p r u ]_w
[_w a ɣ a o ]_w
[_w b i i t ]_w
[_w a b u p ]_w
[_w e t e t ]_w
[_w t o m ]_w
[_w a k e ɡ ]_w
[_w a p o ]_w
[_w t e i ɣ ]_w
[_w ɣ a t ]_w
[_w s i β ]_w
[_w ɣ a β i ]_w
[_w s o n k ]_w
[_w e ŋ a ŋ ]_w
[_w n e r ]_w
[_w b e k e ]_w
[_w t e e t ]_w
[_w s a u ]_w
[_w a k a ŋ ]_w
[_w s a ɡ i ]_w
[_w e d e p ]_w
[_w b u ŋ ]_w
[_w r a r i ]_w
[_w p i n ]_w
[_w n a i r ]_w
[_w i z e k ]_w
[_w z o z ]_w
[_w o k a t ]_w
[_w k i t u ]_w
[_w b o u d ]_w
[_w d u r ]_w
[_w z o n a ]_w
[_w p o r u ]_w
[_w t u ɣ o ]_w
[_w b a t u ]_w
[_w ɡ e r ]_w
[_w n i i ɣ ]_w
[_w t o u t ]_w
[_w u t a p ]_w
[_w i d i r ]_w
[_w e p e ŋ ]_w
[_w a ŋ o m ]_w
[_w k a t e ]_w
[_w i β o β ]_w
[_w p o e ɡ ]_w
[_w k e n a ]_w
[_w o k e ɡ ]_w
[_w d e ɡ i ]_w
[_w b e k a ]_w
[_w k a m ]_w
[_w t a i t ]_w
[_w e d e k ]_w
[_w a p e l ]_w
[_w p o k i ]_w
[_w s o o k ]_w
[_w t a i a ]_w
[_w n a a n ]_w
[_w e ŋ a t ]_w
[_w a ŋ a ɡ ]_w
[_w n a ɣ ]_w
[_w o ɡ o ŋ ]_w
[_w u r u d ]_w
[_w ŋ e k e ]_w
[_w a r u z ]_w
[_w i e s u ]_w
[_w b e l ]_w
[_w m e u ]_w
[_w t i n ]_w
[_w ɣ a o k ]_w
[_w i z i p ]_w
[_w n o a ]_w
[_w ɡ r i t ]_w
[_w ɡ i m ]_w
[_w p o i z ]_w
[_w e r a z ]_w
[_w ɣ e ɣ o ]_w
[_w o ɡ o β ]_w
[_w k i r i ]_w
[_w s u a m ]_w
[_w e r a s ]_w
[_w d e r i ]_w
[_w z e i r ]_w
[_w ɣ a m ]_w
[_w ŋ a i r ]_w
[_w a b a n ]_w
[_w d e i p ]_w
[_w e t a ŋ ]_w
[_w t e ŋ ]_w
[_w d e i ]_w
[_w ɡ o p ]_w
[_w t e u r ]_w
[_w n a k ]_w
[_w z e i d ]_w
[_w r u a t ]_w
[_w s a i d ]_w
[_w k i ŋ ]_w
[_w s e i s ]_w
[_w r u k a ]_w
[_w b o i z ]_w
[_w a ɣ o s ]_w
[_w a n o ɣ ]_w
[_w a t a s ]_w
[_w a ɣ o z ]_w
[_w t e ŋ i ]_w
[_w b a l ]_w
[_w a p u ]_w
[_w e k a ]_w
[_w s u ŋ ]_w
[_w p o d ]_w
[_w z e k e ]_w
[_w a ŋ e ɡ ]_w
[_w e b o β ]_w
[_w k o d ]_w
[_w i s e ɡ ]_w
[_w e t e d ]_w
[_w t a a s ]_w
[_w t a p ]_w
[_w m i z ]_w
[_w p o d u ]_w
[_w p o β ]_w
[_w k a k ]_w
[_w ɡ o r i ]_w
[_w p i d a ]_w
[_w p a ɣ ]_w
[_w ɡ i p ]_w
[_w t o u d ]_w
[_w o k o d ]_w
[_w ɡ o ɡ ]_w
[_w u l o r ]_w
[_w a b o s ]_w
[_w m e d e ]_w
[_w s u t ]_w
[_w d a a t ]_w
[_w a ɣ o d ]_w
[_w o k o z ]_w
[_w a b o k ]_w
[_w ɣ a r ]_w
[_w r u o ɣ ]_w
[_w i r a o ]_w
[_w a t a z ]_w
[_w z u t ]_w
[_w t e d ]_w
[_w u e r ]_w
[_w m e e ]_w
[_w k a e β ]_w
[_w d o ɡ u ]_w
[_w p o e z ]_w
[_w t i m ]_w
[_w m e n ]_w
[_w ɣ o r ]_w
[_w a m i b ]_w
[_w m a o k ]_w
[_w d a e ]_w
[_w m o t ]_w
[_w k i d ]_w
[_w p o r o ]_w
[_w u β e o ]_w
[_w e l o i ]_w
[_w i β e ŋ ]_w
[_w p i i t ]_w
[_w m o p ]_w
[_w a m u n ]_w
[_w m i t a ]_w
[_w e p a t ]_w
[_w t u r ]_w
[_w ɡ i r u ]_w
[_w e b e ŋ ]_w
[_w p e l ]_w
[_w s a t e ]_w
[_w z e i t ]_w
[_w m a β ]_w
[_w m e e t ]_w
[_w p a i m ]_w
[_w p o u t ]_w
[_w o r a ŋ ]_w
[_w n i i n ]_w
[_w b o b ]_w
[_w p e ɡ e ]_w
[_w e d e ŋ ]_w
[_w u i t ]_w
[_w e r a b ]_w
[_w t e β ]_w
[_w e t e β ]_w
[_w z e i s ]_w
[_w a β a z ]_w
[_w ɡ o m ]_w
[_w t e ɡ i ]_w
[_w b u z i ]_w
[_w r a β ]_w
[_w o i r ]_w
[_w ɡ a ŋ ]_w
[_w ɡ e n a ]_w
[_w o k e k ]_w
[_w ɣ a z ]_w
[_w a n a t ]_w
[_w o p e t ]_w
[_w k a i s ]_w
[_w z i r ]_w
[_w k a r e ]_w
[_w p o i s ]_w
[_w d e i m ]_w
[_w n a o ]_w
[_w u a z ]_w
[_w p i s ]_w
[_w a r e p ]_w
[_w k a r o ]_w
[_w s a t ]_w
[_w t o ɣ ]_w
[_w s o ɣ ]_w
[_w b i m ]_w
[_w ɣ a ŋ ]_w
[_w o r e p ]_w
[_w b o s ]_w
[_w d i n ]_w
[_w r e k o ]_w
[_w b i i ɣ ]_w
[_w a k a o ]_w
[_w i z a p ]_w
[_w ŋ a i b ]_w
[_w l o d ]_w
[_w p o p ]_w
[_w e l e r ]_w
[_w a p a i ]_w
[_w n a e m ]_w
[_w z o p a ]_w
[_w l i p ]_w
[_w n e e n ]_w
[_w d i t ]_w
[_w z u ŋ ]_w
[_w e r a ɣ ]_w
[_w e t e ŋ ]_w
[_w t a ɡ ]_w
[_w e b e i ]_w
[_w p i z ]_w
[_w r e a b ]_w
[_w n a e ɡ ]_w
[_w s i s a ]_w
[_w p e k ]_w
[_w b e t ]_w
[_w n o o ɡ ]_w
[_w k o m ]_w
[_w ɣ e ɣ ]_w
[_w p i m ]_w
[_w a β a d ]_w
[_w ɡ a t e ]_w
[_w p a o l ]_w
[_w ŋ a i β ]_w
[_w e m a k ]_w
[_w z o s ]_w
[_w o ɡ o t ]_w
[_w ɡ a m ]_w
[_w k e ɡ ]_w
[_w i z a ɣ ]_w
[_w ɣ e s ]_w
[_w ɡ a k ]_w
[_w ŋ i s ]_w
[_w r a o ]_w
[_w e ɡ a ]_w
[_w p o ɣ ]_w
[_w k u t ]_w
[_w a ɡ o p ]_w
[_w b i d u ]_w
[_w k a ŋ ]_w
[_w ɣ a s ]_w
[_w ɡ a d e ]_w
[_w b o z ]_w
[_w p e r i ]_w
[_w a t a m ]_w
[_w p o ŋ ]_w
[_w d o k u ]_w
[_w b u i ]_w
[_w ɣ a k ]_w
[_w b o e ]_w
[_w a p o s ]_w
[_w n a β ]_w
[_w ɡ o e p ]_w
[_w n a t u ]_w
[_w p i r ]_w
[_w d o r ]_w
[_w b o n ]_w
[_w n a e ]_w
[_w o k o r ]_w
[_w b o e z ]_w
[_w p o t ]_w
[_w a r a r ]_w
[_w z a u ]_w
[_w o k o ɣ ]_w
[_w e d e o ]_w
[_w b o p ]_w
[_w a ɡ o b ]_w
[_w i s i p ]_w
[_w e p a d ]_w
[_w a ɡ a p ]_w
[_w z e ɡ e ]_w
[_w ɣ a p ]_w
[_w b e r i ]_w
[_w i n i n ]_w
[_w b o r ]_w
[_w a ŋ a k ]_w
[_w a ɡ e k ]_w
[_w l i t a ]_w
[_w e l a m ]_w
[_w e d e m ]_w
[_w s e k ]_w
[_w ɣ a ɡ ]_w
[_w ɡ u p ]_w
[_w s o m ]_w
[_w a p o i ]_w
[_w z a k i ]_w
[_w e l a t ]_w
[_w d a d ]_w
[_w k a d ]_w
[_w b a r o ]_w
[_w p a t ]_w
[_w b i n ]_w
[_w n e ɡ e ]_w
[_w b e ɡ ]_w
[_w o r e ɡ ]_w
[_w m e d ]_w
[_w z e i ŋ ]_w
[_w s e k e ]_w
[_w z o a n ]_w
[_w a k a k ]_w
[_w s e r a ]_w
[_w i t i r ]_w
[_w m e t ]_w
[_w k e k ]_w
[_w i d o u ]_w
[_w t a e t ]_w
[_w p e k e ]_w
[_w e ŋ e t ]_w
[_w m a k ]_w
[_w d e k e ]_w
[_w ɣ e m ]_w
[_w b a a r ]_w
[_w a t a t ]_w
[_w d e i ɣ ]_w
[_w k i l ]_w
[_w b o d ]_w
[_w t e ɡ ]_w
[_w a ŋ e ŋ ]_w
[_w l i d a ]_w
[_w s a k ]_w
[_w p e ɡ ]_w
[_w m i t ]_w
[_w d a e ŋ ]_w
[_w a k a i ]_w
[_w k a m o ]_w
[_w ɡ i β ]_w
[_w ŋ e d ]_w
[_w b e ɡ a ]_w
[_w d o p ]_w
[_w d a b u ]_w
[_w a r o p ]_w
[_w ɣ o p ]_w
[_w p o m ]_w
[_w l o t ]_w
[_w d a u r ]_w
[_w b e o ]_w
[_w e b a r ]_w
[_w o ɡ o r ]_w
[_w a n a z ]_w
[_w z i p ]_w
[_w d o ɡ ]_w
[_w k o e p ]_w
[_w p e t i ]_w
[_w ɣ a ɡ e ]_w
[_w t e r ]_w
[_w ɡ i b ]_w
[_w k a p ]_w
[_w t e k ]_w
[_w ɡ i d u ]_w
[_w z a l ]_w
[_w z a ɣ ]_w
[_w d i m ]_w
[_w e β o ]_w
[_w i z i b ]_w
[_w k i t ]_w
[_w d a p u ]_w
[_w p o r ]_w
[_w d a i t ]_w
[_w z o m ]_w
[_w m a p ]_w
[_w i β o ɣ ]_w
[_w k e n ]_w
[_w d e p ]_w
[_w s e i d ]_w
[_w t a a ]_w
[_w k u i n ]_w
[_w s u d ]_w
[_w a ŋ a d ]_w
[_w t i t ]_w
[_w o n e s ]_w
[_w i z a r ]_w
[_w z o ɣ ]_w
[_w d e k i ]_w
[_w t e z ]_w
[_w a k e k ]_w
[_w t e t e ]_w
[_w k o k ]_w
[_w ɣ o m ]_w
[_w n a e k ]_w
[_w ŋ o t ]_w
[_w ɡ r i k ]_w
[_w u d a r ]_w
[_w ŋ o d ]_w
[_w p e k u ]_w
[_w ɡ u i n ]_w
[_w ɡ a i s ]_w
[_w u r a t ]_w
[_w a k a b ]_w
[_w b e ɡ u ]_w
[_w e b e z ]_w
[_w b o k i ]_w
[_w b e u o ]_w
[_w a s o z ]_w
[_w s o l ]_w
[_w e p a ŋ ]_w
[_w o ɡ a t ]_w
[_w k o r i ]_w
[_w z e r ]_w
[_w b o ŋ ]_w
[_w k a r ]_w
[_w t o p ]_w
[_w e m a t ]_w
[_w k i n a ]_w
[_w z e r a ]_w
[_w r u a ɣ ]_w
[_w t a ŋ ]_w
[_w e d a ŋ ]_w
[_w m a o d ]_w
[_w o k o t ]_w
[_w z o n k ]_w
[_w d a o ]_w
[_w n o a s ]_w
[_w a i n ]_w
[_w b i ŋ ]_w
[_w e t a d ]_w
[_w d o u t ]_w
[_w s i r ]_w
[_w s i p ]_w
[_w d a a ŋ ]_w
[_w p a ɡ ]_w
[_w i s a ɣ ]_w
[_w a n t e ]_w
[_w z o l ]_w
[_w ɣ o t ]_w
[_w n o n ]_w
[_w m a o ɡ ]_w
[_w a t a d ]_w
[_w i n o ɡ ]_w
[_w e m e i ]_w
[_w t a β ]_w
[_w ɡ e k ]_w
[_w a r e b ]_w
[_w o l a d ]_w
[_w p a k ]_w
[_w t a a t ]_w
[_w ɣ o β ]_w
[_w m a ŋ ]_w
[_w s a ɣ ]_w
[_w a n a n ]_w
[_w d e ŋ i ]_w
[_w t o ɡ u ]_w
[_w e m i β ]_w
[_w a b e l ]_w
[_w z i z a ]_w
[_w b a r ]_w
[_w e t e b ]_w
[_w a z o s ]_w
[_w k a d e ]_w
[_w ŋ e t ]_w
[_w i s e k ]_w
[_w ɡ o e ɡ ]_w
[_w d e i b ]_w
[_w b a k ]_w
[_w e b a t ]_w
[_w z a u p ]_w
[_w i n i a ]_w
[_w ɡ a a ]_w
[_w i b r u ]_w
[_w d e i n ]_w
[_w ɣ e ɡ ]_w
[_w a β i ]_w
[_w e r a d ]_w
[_w t i d ]_w
[_w k i p ]_w
[_w e d e β ]_w
[_w ɣ a d ]_w
[_w ɡ i r i ]_w
[_w p o z ]_w
[_w k r i k ]_w
[_w p a r o ]_w
[_w p e o ]_w
[_w e l a d ]_w
[_w k r i t ]_w
[_w k o p ]_w
[_w t o d ]_w
[_w d o d u ]_w
[_w k o s ]_w
[_w s o s ]_w
[_w ɡ o s ]_w
[_w a r u s ]_w
[_w a b a d ]_w
[_w n a d u ]_w
[_w z a p ]_w
[_w k i d u ]_w
[_w z e n ]_w
[_w z a t ]_w
[_w ɡ a u ]_w
[_w ŋ i z ]_w
[_w o r o ɣ ]_w
[_w r a p ]_w
[_w a ɡ a i ]_w
[_w a z i β ]_w
[_w r e a p ]_w
[_w a d e m ]_w
[_w ɡ e r e ]_w
[_w t a ɣ ]_w
[_w d o l ]_w
[_w m a d a ]_w
[_w s o d u ]_w
[_w ɡ i t i ]_w
[_w t e d e ]_w
[_w a b a t ]_w
[_w s i k o ]_w
[_w b o o ɣ ]_w
[_w e d o m ]_w
[_w e β e d ]_w
[_w t a e ɡ ]_w
[_w n a d a ]_w
[_w k o e z ]_w
[_w t a a z ]_w
[_w k i β ]_w
[_w a ɡ a ŋ ]_w
[_w ɡ e s ]_w
[_w s e ɡ ]_w
[_w n a z ]_w
[_w p e ŋ ]_w
[_w d o β e ]_w
[_w e b e e ]_w
[_w a z o z ]_w
[_w z u a ŋ ]_w
[_w ɣ o n ]_w
[_w a ɡ a o ]_w
[_w d a e t ]_w
[_w z o n ]_w
[_w a p a β ]_w
[_w s e r ]_w
[_w p o s ]_w
[_w z a ŋ ]_w
[_w b e ɡ e ]_w
[_w i s o ]_w
[_w o ɡ o z ]_w
[_w n o m ]_w
[_w a p o ɡ ]_w
[_w o ɡ e k ]_w
[_w a b o r ]_w
[_w i s a p ]_w
[_w ɡ o e ]_w
[_w p e t ]_w
[_w a k a ɣ ]_w
[_w a b e t ]_w
[_w e ŋ e d ]_w
[_w d a p ]_w
[_w k i z ]_w
[_w e β e k ]_w
[_w m a o t ]_w
[_w r e s ]_w
[_w a n a s ]_w
[_w o ɡ o s ]_w
[_w d e e t ]_w
[_w ɡ r i d ]_w
[_w a n a b ]_w
[_w n a e d ]_w
[_w p i ŋ ]_w
[_w e b o p ]_w
[_w p a r ]_w
[_w a p o z ]_w
[_w ɡ o z ]_w
[_w k o e ]_w
[_w d i z ]_w
[_w b o m ]_w
[_w z u m ]_w
[_w d e z ]_w
[_w d e k ]_w
[_w a ɣ o b ]_w
[_w p i k ]_w
[_w d a k ]_w
[_w u t a b ]_w
[_w a p a d ]_w
[_w k e z ]_w
[_w r a k ]_w
[_w d a e k ]_w
[_w ɡ a o ]_w
[_w a s i d ]_w
[_w e b e r ]_w
[_w e d a t ]_w
[_w a b o ]_w
[_w d a a s ]_w
[_w a r i b ]_w
[_w ɣ a b ]_w
[_w d a ɡ ]_w
[_w k o e b ]_w
[_w p o u d ]_w
[_w z a ɡ ]_w
[_w m a ɡ ]_w
[_w t o r ]_w
[_w r a i s ]_w
[_w p u ŋ ]_w
[_w z a e m ]_w
[_w d e s ]_w
[_w r e e t ]_w
[_w k u d ]_w
[_w p e d ]_w
[_w s a e m ]_w
